subject_id,session_name
S11,WU01
S11,WU02
S11,WU03
S11,WU04
S11,WU05
S11,WU06
S11,WU07
S11,WU08
S11,WU09
S11,static
S12,WK01Copy
S12,WK02Copy
S12,WK04Copy
S12,WK05Copy
S12,WK06Copy
S12,WK07Copy
S12,WK08Copy
S12,WK09Copy
S12,WK10Copy
S12,WK11Copy
S12,WU01Copy
S12,WU02Copy
S12,WU03Copy
S12,WU04Copy
S12,WU05Copy
S12,WU07Copy
S12,WU08Copy
S12,staticCopy
S13,WU01
S13,WU02
S13,WU03
S13,WU04
S13,WU08
S13,static
S14,WU01
S14,WU03
S14,WU04
S14,WU05
S14,WU06
S14,WU07
S14,WU08
S14,WU09
S14,static
S15,WU01
S15,WU02
S15,WU03
S15,WU04
S15,WU05
S15,WU06
S15,WU07
S15,WU08
S15,WU10
S15,static
S17,WU0
S17,WU11
S17,WU13
S17,WU3
S17,WU4
S17,WU5
S17,WU6
S17,WU7
S17,WU9
S17,static
S19,WU02
S19,WU03
S19,WU04
S19,WU05
S19,static
S2,WU01
S2,WU02
S2,WU03
S2,WU04
S2,WU05
S2,WU06
S2,WU07
S2,WU08
S2,WU09
S2,static
S23,WU01
S23,WU02
S23,WU03
S23,WU04
S23,WU05
S23,WU06
S23,WU07
S23,WU08
S23,WU09
S23,static
S26,WU01
S26,WU02
S26,WU03
S26,WU04
S26,WU05
S26,WU06
S26,WU07
S26,WU08
S26,WU09
S26,static
S27,WU01
S27,WU02
S27,WU03
S27,WU04
S27,WU05
S27,WU06
S27,WU07
S27,WU08
S27,WU09
S27,WU10
S27,static
S3,WU01
S3,WU02
S3,WU03
S3,WU04
S3,WU05
S3,WU06
S3,WU07
S3,WU11
S3,static
S30,WU02
S30,WU04
S30,WU05
S30,WU06
S30,WU07
S30,static
S31,static
S31,WU01
S31,WU02
S31,WU05
S31,WU06
S31,WU07
S31,WU08
S31,WU10
S31,WU11
S31,WU13
S32,WU01
S32,WU02
S32,WU03
S32,WU04
S32,WU05
S32,WU06
S32,WU07
S32,WU08
S32,WU09
S32,WU10
S32,WU11
S32,static
S34,WU01
S34,WU02
S34,WU03
S34,WU04
S34,WU05
S34,WU06
S34,WU08
S34,WU11
S34,WU12
S34,static
S35,WU01
S35,WU02
S35,WU03
S35,WU04
S35,WU05
S35,WU06
S35,WU07
S35,WU08
S35,WU09
S35,WU10
S35,WU11
S35,WU12
S35,static
S37,WU01
S37,WU02
S37,WU03
S37,WU04
S37,WU05
S37,WU06
S37,WU07
S37,WU08
S37,WU09
S37,static
S38,WU01
S38,WU02
S38,WU03
S38,WU04
S38,WU05
S38,WU06
S38,WU07
S38,WU08
S38,WU09
S38,static
S39,WU01
S39,WU02
S39,WU03
S39,WU04
S39,WU05
S39,WU06
S39,WU07
S39,WU08
S39,WU09
S39,WU10
S39,static
S4,WU01
S4,WU02
S4,WU03
S4,WU04
S4,WU05
S4,WU06
S4,WU07
S4,WU08
S4,WU10
S4,static
S40,WU01
S40,WU02
S40,WU03
S40,WU04
S40,WU05
S40,WU07
S40,WU09
S40,WU11
S40,static
S41,WU01
S41,WU02
S41,WU03
S41,WU04
S41,WU05
S41,WU06
S41,WU07
S41,WU08
S41,static
S42,WU01
S42,WU02
S42,WU03
S42,WU04
S42,WU05
S42,WU08
S42,static
S43,WU01
S43,WU02
S43,WU03
S43,WU04
S43,WU05
S43,WU06
S43,static
S46,WU01
S46,WU02
S46,WU03
S46,WU04
S46,WU05
S46,WU06
S46,WU08
S46,WU11
S46,WU14
S46,static
S48,WU01
S48,WU02
S48,WU03
S48,WU04
S48,WU05
S48,WU07
S48,WU09
S48,WU10
S48,WU11
S48,WU12
S48,static
S5,WU01
S5,WU02
S5,WU03
S5,WU04
S5,WU05
S5,WU07
S5,WU08
S5,WU09
S5,static
S7,WU01
S7,WU02
S7,WU03
S7,WU04
S7,WU05
S7,WU06
S7,WU07
S7,WU09
S7,static
S8,WU01
S8,WU02
S8,WU03
S8,WU04
S8,WU05
S8,WU06
S8,WU07
S8,WU08
S8,WU09
S8,static
S9,WU01
S9,WU02
S9,WU03
S9,WU04
S9,WU05
S9,WU06
S9,WU07
S9,WU08
S9,WU09
S9,static
