subject_id,FirstFrame,LastFrame,Vrate,FPrate,Mass,Height,LLegLength,RLegLength,RefThPosture,RefHdPosture
S11,1,204,100,1000,70.9000015258789,161.29000854492188,86.0,86.5,"('MCOS', 'table', array([[3707764736],
       [         2],
       [         1],
       [         1],
       [       119],
       [         1]], dtype=uint32))","('MCOS', 'table', array([[3707764736],
       [         2],
       [         1],
       [         1],
       [       120],
       [         1]], dtype=uint32))"
S12,23,362,100,1000,68.9000015258789,152.39999389648438,98.0,99.4000015258789,"('MCOS', 'table', array([[3707764736],
       [         2],
       [         1],
       [         1],
       [      1113],
       [         1]], dtype=uint32))","('MCOS', 'table', array([[3707764736],
       [         2],
       [         1],
       [         1],
       [      1114],
       [         1]], dtype=uint32))"
S13,2,290,100,1000,100.0,165.10000610351562,85.5,86.5,"('MCOS', 'table', array([[3707764736],
       [         2],
       [         1],
       [         1],
       [       247],
       [         1]], dtype=uint32))","('MCOS', 'table', array([[3707764736],
       [         2],
       [         1],
       [         1],
       [       248],
       [         1]], dtype=uint32))"
S14,1,285,100,1000,54.5,160.01998901367188,84.0,85.0,"('MCOS', 'table', array([[3707764736],
       [         2],
       [         1],
       [         1],
       [      3919],
       [         1]], dtype=uint32))","('MCOS', 'table', array([[3707764736],
       [         2],
       [         1],
       [         1],
       [      3920],
       [         1]], dtype=uint32))"
S15,1,353,100,1000,64.0999984741211,140.97000122070312,67.0,67.5,"('MCOS', 'table', array([[3707764736],
       [         2],
       [         1],
       [         1],
       [       335],
       [         1]], dtype=uint32))","('MCOS', 'table', array([[3707764736],
       [         2],
       [         1],
       [         1],
       [       336],
       [         1]], dtype=uint32))"
S17,1,340,100,1000,60.45000076293945,157.48001098632812,86.5,83.0,"('MCOS', 'table', array([[3707764736],
       [         2],
       [         1],
       [         1],
       [       463],
       [         1]], dtype=uint32))","('MCOS', 'table', array([[3707764736],
       [         2],
       [         1],
       [         1],
       [       464],
       [         1]], dtype=uint32))"
S19,1,62,100,1000,73.5999984741211,162.55999755859375,82.0,82.0,"('MCOS', 'table', array([[3707764736],
       [         2],
       [         1],
       [         1],
       [      4037],
       [         1]], dtype=uint32))","('MCOS', 'table', array([[3707764736],
       [         2],
       [         1],
       [         1],
       [      4038],
       [         1]], dtype=uint32))"
S2,1,306,100,1000,85.9000015258789,162.55999755859375,85.0,87.0,"('MCOS', 'table', array([[3707764736],
       [         2],
       [         1],
       [         1],
       [       719],
       [         1]], dtype=uint32))","('MCOS', 'table', array([[3707764736],
       [         2],
       [         1],
       [         1],
       [       720],
       [         1]], dtype=uint32))"
S23,1,313,100,1000,53.599998474121094,158.75,80.0,80.0,"('MCOS', 'table', array([[3707764736],
       [         2],
       [         1],
       [         1],
       [      1221],
       [         1]], dtype=uint32))","('MCOS', 'table', array([[3707764736],
       [         2],
       [         1],
       [         1],
       [      1222],
       [         1]], dtype=uint32))"
S26,1,317,100,1000,71.4000015258789,162.55999755859375,87.0,88.0,"('MCOS', 'table', array([[3707764736],
       [         2],
       [         1],
       [         1],
       [      1497],
       [         1]], dtype=uint32))","('MCOS', 'table', array([[3707764736],
       [         2],
       [         1],
       [         1],
       [      1498],
       [         1]], dtype=uint32))"
