name,semantic_category,subject_count,session_count,shape,frame_count,coordinate_dimensions,trajectory_layout,coordinate_axis,datatype,units
LFHD,markers,31,301,"(204, 3)",204.0,3.0,"N,3",1.0,float64,Unknown
RFHD,markers,31,301,"(204, 3)",204.0,3.0,"N,3",1.0,float64,Unknown
LBHD,markers,31,301,"(204, 3)",204.0,3.0,"N,3",1.0,float64,Unknown
RBHD,markers,31,301,"(204, 3)",204.0,3.0,"N,3",1.0,float64,Unknown
C7,markers,31,301,"(204, 3)",204.0,3.0,"N,3",1.0,float64,Unknown
T10,markers,31,301,"(204, 3)",204.0,3.0,"N,3",1.0,float64,Unknown
CLAV,markers,31,301,"(204, 3)",204.0,3.0,"N,3",1.0,float64,Unknown
STRN,markers,31,301,"(204, 3)",204.0,3.0,"N,3",1.0,float64,Unknown
RBAK,markers,31,301,"(204, 3)",204.0,3.0,"N,3",1.0,float64,Unknown
LSHO,markers,31,301,"(204, 3)",204.0,3.0,"N,3",1.0,float64,Unknown
LUPA,markers,31,296,"(204, 3)",204.0,3.0,"N,3",1.0,float64,Unknown
LELB,markers,31,301,"(204, 3)",204.0,3.0,"N,3",1.0,float64,Unknown
LFRM,markers,31,301,"(204, 3)",204.0,3.0,"N,3",1.0,float64,Unknown
LWRA,markers,31,301,"(204, 3)",204.0,3.0,"N,3",1.0,float64,Unknown
LWRB,markers,31,301,"(204, 3)",204.0,3.0,"N,3",1.0,float64,Unknown
LFIN,markers,31,301,"(204, 3)",204.0,3.0,"N,3",1.0,float64,Unknown
RSHO,markers,31,301,"(204, 3)",204.0,3.0,"N,3",1.0,float64,Unknown
RUPA,markers,31,301,"(204, 3)",204.0,3.0,"N,3",1.0,float64,Unknown
RELB,markers,31,301,"(204, 3)",204.0,3.0,"N,3",1.0,float64,Unknown
RFRM,markers,31,301,"(204, 3)",204.0,3.0,"N,3",1.0,float64,Unknown
RWRA,markers,31,301,"(204, 3)",204.0,3.0,"N,3",1.0,float64,Unknown
RWRB,markers,31,301,"(204, 3)",204.0,3.0,"N,3",1.0,float64,Unknown
RFIN,markers,31,301,"(204, 3)",204.0,3.0,"N,3",1.0,float64,Unknown
LASI,markers,31,301,"(204, 3)",204.0,3.0,"N,3",1.0,float64,Unknown
RASI,markers,31,301,"(204, 3)",204.0,3.0,"N,3",1.0,float64,Unknown
LPSI,markers,31,301,"(204, 3)",204.0,3.0,"N,3",1.0,float64,Unknown
RPSI,markers,31,301,"(204, 3)",204.0,3.0,"N,3",1.0,float64,Unknown
LTHI,markers,31,301,"(204, 3)",204.0,3.0,"N,3",1.0,float64,Unknown
LKNE,markers,31,301,"(204, 3)",204.0,3.0,"N,3",1.0,float64,Unknown
LANK,markers,31,301,"(204, 3)",204.0,3.0,"N,3",1.0,float64,Unknown
LHEE,markers,31,301,"(204, 3)",204.0,3.0,"N,3",1.0,float64,Unknown
LTOE,markers,31,301,"(204, 3)",204.0,3.0,"N,3",1.0,float64,Unknown
RTHI,markers,31,301,"(204, 3)",204.0,3.0,"N,3",1.0,float64,Unknown
RKNE,markers,31,301,"(204, 3)",204.0,3.0,"N,3",1.0,float64,Unknown
RANK,markers,31,301,"(204, 3)",204.0,3.0,"N,3",1.0,float64,Unknown
RHEE,markers,31,301,"(204, 3)",204.0,3.0,"N,3",1.0,float64,Unknown
RTOE,markers,31,301,"(204, 3)",204.0,3.0,"N,3",1.0,float64,Unknown
LHipAngles,joint_angles,31,301,"(204, 3)",204.0,3.0,"N,3",1.0,float64,Unknown
LKneeAngles,joint_angles,31,301,"(204, 3)",204.0,3.0,"N,3",1.0,float64,Unknown
LAbsAnkleAngle,joint_angles,31,301,"(204, 3)",204.0,3.0,"N,3",1.0,float64,Unknown
LAnkleAngles,joint_angles,31,301,"(204, 3)",204.0,3.0,"N,3",1.0,float64,Unknown
RHipAngles,joint_angles,31,301,"(204, 3)",204.0,3.0,"N,3",1.0,float64,Unknown
RKneeAngles,joint_angles,31,301,"(204, 3)",204.0,3.0,"N,3",1.0,float64,Unknown
RAnkleAngles,joint_angles,31,301,"(204, 3)",204.0,3.0,"N,3",1.0,float64,Unknown
RAbsAnkleAngle,joint_angles,31,301,"(204, 3)",204.0,3.0,"N,3",1.0,float64,Unknown
LPelvisAngles,joint_angles,31,301,"(204, 3)",204.0,3.0,"N,3",1.0,float64,Unknown
RPelvisAngles,joint_angles,31,301,"(204, 3)",204.0,3.0,"N,3",1.0,float64,Unknown
LFootProgressAngles,joint_angles,31,301,"(204, 3)",204.0,3.0,"N,3",1.0,float64,Unknown
RFootProgressAngles,joint_angles,31,301,"(204, 3)",204.0,3.0,"N,3",1.0,float64,Unknown
RNeckAngles,joint_angles,31,301,"(204, 3)",204.0,3.0,"N,3",1.0,float64,Unknown
LNeckAngles,joint_angles,31,301,"(204, 3)",204.0,3.0,"N,3",1.0,float64,Unknown
RSpineAngles,joint_angles,31,301,"(204, 3)",204.0,3.0,"N,3",1.0,float64,Unknown
LSpineAngles,joint_angles,31,301,"(204, 3)",204.0,3.0,"N,3",1.0,float64,Unknown
LShoulderAngles,joint_angles,31,301,"(204, 3)",204.0,3.0,"N,3",1.0,float64,Unknown
LElbowAngles,joint_angles,31,301,"(204, 3)",204.0,3.0,"N,3",1.0,float64,Unknown
LWristAngles,joint_angles,31,301,"(204, 3)",204.0,3.0,"N,3",1.0,float64,Unknown
