subject_id,survey_subject_no,excel_roster_no,mat_subject_no,mat_roster_no,sex,victimized,victim_type,times,cyber_bullied,join_ok,label_source
S2,2,1,2,1,F,N,No,0,No,True,excel_Subject_No
S3,3,2,3,2,F,Y,Nd,2,Nd,True,excel_Subject_No
S4,4,3,4,3,F,Y,Both,4,No,True,excel_Subject_No
S5,5,4,5,4,F,Y,Nd,2,No,True,excel_Subject_No
S7,7,5,7,5,F,Y,Nd,3,Nd,True,excel_Subject_No
S8,8,6,8,6,F,Y,Ip,3,No,True,excel_Subject_No
S9,9,7,9,7,F,N,No,0,No,True,excel_Subject_No
S11,11,8,11,8,F,N,No,0,No,True,excel_Subject_No
S12,12,9,12,9,F,N,No,0,No,True,excel_Subject_No
S13,13,10,13,10,F,Y,Nd,4,Nd,True,excel_Subject_No
S14,14,11,14,11,F,Y,Both,12,Yes,True,excel_Subject_No
S15,15,12,15,12,F,Y,Both,10,Yes,True,excel_Subject_No
S17,17,13,17,13,F,N,No,0,No,True,excel_Subject_No
S19,19,14,19,14,F,Y,Ip,Nd,Yes,True,excel_Subject_No
S23,23,15,23,15,F,N,No,0,No,True,excel_Subject_No
S26,26,16,26,16,F,Y,Nd,Nd,Yes,True,excel_Subject_No
S27,27,17,27,17,F,Y,Ip,2,Nd,True,excel_Subject_No
S30,30,18,30,18,F,N,No,0,No,True,excel_Subject_No
S31,31,19,31,19,F,Y,Nd,1,Nd,True,excel_Subject_No
S32,32,20,32,20,F,Y,Ip,6,No,True,excel_Subject_No
S34,34,21,34,21,F,Y,online,1,Yes,True,excel_Subject_No
S35,35,22,35,22,F,N,No,0,No,True,excel_Subject_No
S37,37,23,37,23,F,Y,Ip,2,No,True,excel_Subject_No
S38,38,24,38,24,F,Y,Ip,5,Yes,True,excel_Subject_No
S39,39,25,39,25,F,N,No,0,No,True,excel_Subject_No
S40,40,26,40,26,F,N,No,0,No,True,excel_Subject_No
S41,41,27,41,27,F,N,No,0,No,True,excel_Subject_No
S42,42,28,42,28,F,N,No,0,No,True,excel_Subject_No
S43,43,29,43,29,F,N,No,0,No,True,excel_Subject_No
S46,46,30,46,30,F,Y,Nd,2,Nd,True,excel_Subject_No
S48,48,31,48,31,F,N,No,0,No,True,excel_Subject_No
