subject_id,session,signal_name,signal_type,rows,columns,orientation,finite_ratio,missing_count,valid
S2,WU01,LFHD,marker,306,3,Nx3,1.0,0,True
S2,WU01,RFHD,marker,306,3,Nx3,1.0,0,True
S2,WU01,LBHD,marker,306,3,Nx3,1.0,0,True
S2,WU01,RBHD,marker,306,3,Nx3,1.0,0,True
S2,WU01,C7,marker,306,3,Nx3,1.0,0,True
S2,WU01,T10,marker,306,3,Nx3,1.0,0,True
S2,WU01,CLAV,marker,306,3,Nx3,1.0,0,True
S2,WU01,STRN,marker,306,3,Nx3,1.0,0,True
S2,WU01,RBAK,marker,306,3,Nx3,1.0,0,True
S2,WU01,LSHO,marker,306,3,Nx3,1.0,0,True
S2,WU01,LUPA,marker,306,3,Nx3,1.0,0,True
S2,WU01,LELB,marker,306,3,Nx3,1.0,0,True
S2,WU01,LFRM,marker,306,3,Nx3,1.0,0,True
S2,WU01,LWRA,marker,306,3,Nx3,1.0,0,True
S2,WU01,LWRB,marker,306,3,Nx3,1.0,0,True
S2,WU01,LFIN,marker,306,3,Nx3,1.0,0,True
S2,WU01,RSHO,marker,306,3,Nx3,1.0,0,True
S2,WU01,RUPA,marker,306,3,Nx3,1.0,0,True
S2,WU01,RELB,marker,306,3,Nx3,1.0,0,True
S2,WU01,RFRM,marker,306,3,Nx3,1.0,0,True
S2,WU01,RWRA,marker,306,3,Nx3,1.0,0,True
S2,WU01,RWRB,marker,306,3,Nx3,1.0,0,True
S2,WU01,RFIN,marker,306,3,Nx3,1.0,0,True
S2,WU01,LASI,marker,306,3,Nx3,1.0,0,True
S2,WU01,RASI,marker,306,3,Nx3,1.0,0,True
S2,WU01,LPSI,marker,306,3,Nx3,1.0,0,True
S2,WU01,RPSI,marker,306,3,Nx3,1.0,0,True
S2,WU01,LTHI,marker,306,3,Nx3,1.0,0,True
S2,WU01,LKNE,marker,306,3,Nx3,1.0,0,True
S2,WU01,LANK,marker,306,3,Nx3,1.0,0,True
S2,WU01,LHEE,marker,306,3,Nx3,1.0,0,True
S2,WU01,LTOE,marker,306,3,Nx3,1.0,0,True
S2,WU01,RTHI,marker,306,3,Nx3,1.0,0,True
S2,WU01,RKNE,marker,306,3,Nx3,1.0,0,True
S2,WU01,RANK,marker,306,3,Nx3,1.0,0,True
S2,WU01,RHEE,marker,306,3,Nx3,1.0,0,True
S2,WU01,RTOE,marker,306,3,Nx3,1.0,0,True
S2,WU01,LHipAngles,joint_angle,306,3,Nx3,1.0,0,True
S2,WU01,LKneeAngles,joint_angle,306,3,Nx3,1.0,0,True
S2,WU01,LAbsAnkleAngle,joint_angle,306,3,Nx3,1.0,0,True
S2,WU01,LAnkleAngles,joint_angle,306,3,Nx3,1.0,0,True
S2,WU01,RHipAngles,joint_angle,306,3,Nx3,1.0,0,True
S2,WU01,RKneeAngles,joint_angle,306,3,Nx3,1.0,0,True
S2,WU01,RAnkleAngles,joint_angle,306,3,Nx3,1.0,0,True
