subject_id,session_name,session_type,name_pattern,is_irregular_name,frame_count,sampling_rate,has_kinematics,has_events,has_res,marker_count,joint_angle_count,joint_center_count,com_count,segment_com_count,kinematics_field_count,valid,exclusion_reason
S2,WU01,walking,WU##,False,306,100,True,True,True,37,26,6,2,15,86,True,
S2,WU02,walking,WU##,False,320,100,True,True,True,37,26,6,2,15,86,True,
S2,WU03,walking,WU##,False,315,100,True,True,True,37,26,6,2,15,86,True,
S2,WU04,walking,WU##,False,335,100,True,True,True,37,26,6,2,15,86,True,
S2,WU05,walking,WU##,False,303,100,True,True,True,37,26,6,2,15,86,True,
S2,WU06,walking,WU##,False,303,100,True,True,True,37,26,6,2,15,86,True,
S2,WU07,walking,WU##,False,333,100,True,True,True,37,26,6,2,15,86,True,
S2,WU08,walking,WU##,False,419,100,True,True,True,37,26,6,2,15,86,True,
S2,WU09,walking,WU##,False,446,100,True,True,True,37,26,6,2,15,86,True,
S2,static,static,static,False,37,100,True,False,False,37,26,0,0,0,63,True,
S3,WU01,walking,WU##,False,312,100,True,True,True,37,26,6,2,15,86,False,nans:LUPA
S3,WU02,walking,WU##,False,286,100,True,True,True,37,26,6,2,15,86,False,nans:LUPA
S3,WU03,walking,WU##,False,287,100,True,True,True,37,26,6,2,15,86,False,nans:LUPA
S3,WU04,walking,WU##,False,298,100,True,True,True,37,26,6,2,15,86,True,
S3,WU05,walking,WU##,False,323,100,True,True,True,37,26,6,2,15,86,False,nans:LUPA
S3,WU06,walking,WU##,False,280,100,True,True,True,37,26,6,2,15,86,False,nans:RUPA|nans:LUPA
S3,WU07,walking,WU##,False,379,100,True,True,True,37,26,6,2,15,86,False,nans:LUPA
S3,WU11,walking,WU##,False,328,100,True,True,True,37,26,6,2,15,86,True,
S3,static,static,static,False,100,100,True,False,False,37,26,0,0,0,63,True,nans:LBHD|nans:RNeckAngles|nans:LNeckAngles|nans:RHeadAngles|nans:LHeadAngles
S4,WU01,walking,WU##,False,283,100,True,True,True,37,26,6,2,15,86,True,
S4,WU02,walking,WU##,False,227,100,True,True,True,37,26,6,2,15,86,True,
S4,WU03,walking,WU##,False,233,100,True,True,True,37,26,6,2,15,86,True,
S4,WU04,walking,WU##,False,220,100,True,True,True,37,26,6,2,15,86,True,
S4,WU05,walking,WU##,False,252,100,True,True,True,37,26,6,2,15,86,True,
S4,WU06,walking,WU##,False,257,100,True,True,True,37,26,6,2,15,86,True,
S4,WU07,walking,WU##,False,261,100,True,True,True,37,26,6,2,15,86,True,
S4,WU08,walking,WU##,False,284,100,True,True,True,37,26,6,2,15,86,True,
S4,WU10,walking,WU##,False,291,100,True,True,True,37,26,6,2,15,86,True,
S4,static,static,static,False,58,100,True,False,False,37,26,0,0,0,63,True,
