cycle_id,subject_id,session_id,side,events_fc,events_opposite_fc,events_fo,events_mid_stance,duration_status,lower_body_status,upper_body_status,overall,usable_lower_body,reasons,pelvis_present,pelvis_expected,pelvis_finite_ratio,pelvis_status,hip_present,hip_expected,hip_finite_ratio,hip_status,knee_present,knee_expected,knee_finite_ratio,knee_status,ankle_present,ankle_expected,ankle_finite_ratio,ankle_status,foot_present,foot_expected,foot_finite_ratio,foot_status,whole_body_present,whole_body_expected,whole_body_finite_ratio,whole_body_status,trunk_present,trunk_expected,trunk_finite_ratio,trunk_status,head_present,head_expected,head_finite_ratio,head_status,arms_present,arms_expected,arms_finite_ratio,arms_status
S2_WU01_R_01,S2,WU01,R,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,True,,4,4,1.0,PASS,4,4,1.0,PASS,4,4,1.0,PASS,6,6,1.0,PASS,6,6,1.0,PASS,2,2,1.0,PASS,9,9,1.0,PASS,8,8,1.0,PASS,20,20,1.0,PASS
S2_WU01_L_01,S2,WU01,L,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,True,,4,4,1.0,PASS,4,4,1.0,PASS,4,4,1.0,PASS,6,6,1.0,PASS,6,6,1.0,PASS,2,2,1.0,PASS,9,9,1.0,PASS,8,8,1.0,PASS,20,20,1.0,PASS
S2_WU01_R_02,S2,WU01,R,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,True,,4,4,1.0,PASS,4,4,1.0,PASS,4,4,1.0,PASS,6,6,1.0,PASS,6,6,1.0,PASS,2,2,1.0,PASS,9,9,1.0,PASS,8,8,1.0,PASS,20,20,1.0,PASS
S2_WU01_L_02,S2,WU01,L,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,True,,4,4,1.0,PASS,4,4,1.0,PASS,4,4,1.0,PASS,6,6,1.0,PASS,6,6,1.0,PASS,2,2,1.0,PASS,9,9,1.0,PASS,8,8,1.0,PASS,20,20,1.0,PASS
S2_WU02_R_01,S2,WU02,R,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,True,,4,4,1.0,PASS,4,4,1.0,PASS,4,4,1.0,PASS,6,6,1.0,PASS,6,6,1.0,PASS,2,2,1.0,PASS,9,9,1.0,PASS,8,8,1.0,PASS,20,20,1.0,PASS
S2_WU02_L_01,S2,WU02,L,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,True,,4,4,1.0,PASS,4,4,1.0,PASS,4,4,1.0,PASS,6,6,1.0,PASS,6,6,1.0,PASS,2,2,1.0,PASS,9,9,1.0,PASS,8,8,1.0,PASS,20,20,1.0,PASS
S2_WU02_R_02,S2,WU02,R,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,True,,4,4,1.0,PASS,4,4,1.0,PASS,4,4,1.0,PASS,6,6,1.0,PASS,6,6,1.0,PASS,2,2,1.0,PASS,9,9,1.0,PASS,8,8,1.0,PASS,20,20,1.0,PASS
S2_WU02_L_02,S2,WU02,L,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,True,,4,4,1.0,PASS,4,4,1.0,PASS,4,4,1.0,PASS,6,6,1.0,PASS,6,6,1.0,PASS,2,2,1.0,PASS,9,9,1.0,PASS,8,8,1.0,PASS,20,20,1.0,PASS
S2_WU03_L_01,S2,WU03,L,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,True,,4,4,1.0,PASS,4,4,1.0,PASS,4,4,1.0,PASS,6,6,1.0,PASS,6,6,1.0,PASS,2,2,1.0,PASS,9,9,1.0,PASS,8,8,1.0,PASS,20,20,1.0,PASS
S2_WU03_R_01,S2,WU03,R,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,True,,4,4,1.0,PASS,4,4,1.0,PASS,4,4,1.0,PASS,6,6,1.0,PASS,6,6,1.0,PASS,2,2,1.0,PASS,9,9,1.0,PASS,8,8,1.0,PASS,20,20,1.0,PASS
S2_WU03_L_02,S2,WU03,L,PASS,PASS,PASS,PASS,PASS,PASS,PASS,PASS,True,,4,4,1.0,PASS,4,4,1.0,PASS,4,4,1.0,PASS,6,6,1.0,PASS,6,6,1.0,PASS,2,2,1.0,PASS,9,9,1.0,PASS,8,8,1.0,PASS,20,20,1.0,PASS
