subject_id,survey_subject_no,victimized,walking_trials,trials_event_pass,total_gait_cycles,left_cycles,right_cycles,pass_cycles,pass_with_warnings_cycles,fail_cycles,usable_lower_body_cycles,normalized_ok_cycles,min_duration_s,median_duration_s,max_duration_s
S2,2,N,9,9,37,18,19,37,0,0,37,37,1.04,1.09,1.24
S3,3,Y,8,8,28,14,14,28,0,0,28,28,1.05,1.09,1.15
S4,4,Y,9,9,23,9,14,23,0,0,23,23,1.05,1.08,1.18
S5,5,Y,8,8,15,7,8,15,0,0,15,15,1.05,1.1,1.14
S7,7,Y,8,8,26,12,14,26,0,0,26,26,0.91,1.0,1.07
S8,8,Y,9,9,30,16,14,30,0,0,30,30,0.97,1.02,1.1
S9,9,N,9,9,33,17,16,33,0,0,33,33,0.98,1.03,1.06
S11,11,N,9,9,23,10,13,23,0,0,23,23,1.0,1.03,1.1
S12,12,N,7,7,17,10,7,17,0,0,17,17,1.09,1.14,1.19
S13,13,Y,5,5,15,7,8,15,0,0,15,15,0.99,1.03,1.16
S14,14,Y,8,8,32,15,17,32,0,0,32,32,0.95,1.045,1.11
S15,15,Y,9,9,43,21,22,43,0,0,43,43,0.88,0.95,0.99
S17,17,N,9,9,41,20,21,41,0,0,41,41,1.0,1.03,1.14
S19,19,Y,4,4,4,3,1,4,0,0,4,4,1.09,1.115,1.15
S23,23,N,9,9,41,21,20,41,0,0,41,41,0.92,0.97,1.02
S26,26,Y,9,9,44,22,22,44,0,0,44,44,0.93,0.97,1.32
S27,27,Y,10,10,36,21,15,36,0,0,36,36,0.97,1.02,1.06
S30,30,N,5,5,3,1,2,3,0,0,3,3,1.04,1.05,1.07
S31,31,Y,9,9,33,17,16,33,0,0,33,33,1.12,1.18,1.27
S32,32,Y,11,11,16,9,7,16,0,0,16,16,1.03,1.0750000000000002,1.19
S34,34,Y,9,9,35,18,17,35,0,0,35,35,0.92,0.94,0.99
S35,35,N,12,12,19,10,9,19,0,0,19,19,1.03,1.09,1.32
S37,37,Y,9,9,37,17,20,37,0,0,37,37,1.0,1.03,1.08
S38,38,Y,9,9,35,17,18,35,0,0,35,35,0.92,0.98,1.09
S39,39,N,10,10,44,22,22,44,0,0,44,44,0.98,1.02,1.27
S40,40,N,8,8,31,16,15,31,0,0,31,31,0.99,1.07,1.12
S41,41,N,8,8,24,12,12,24,0,0,24,24,1.02,1.05,1.14
S42,42,N,6,6,30,13,17,30,0,0,30,30,1.06,1.12,1.14
S43,43,N,6,6,17,10,7,17,0,0,17,17,1.02,1.1,1.14
S46,46,Y,9,9,35,17,18,35,0,0,35,35,0.99,1.08,1.16
S48,48,N,10,10,33,18,15,33,0,0,33,33,0.97,1.03,1.13
