subject_id,session_name,victimized,n_kinfc,alternates,event_validation,n_cycles,n_left_cycles,n_right_cycles,n_pass,n_pass_with_warnings,n_fail,n_usable_lower_body,n_normalized_ok
S2,WU01,N,6,True,PASS,4,2,2,4,0,0,4,4
S2,WU02,N,6,True,PASS,4,2,2,4,0,0,4,4
S2,WU03,N,6,True,PASS,4,2,2,4,0,0,4,4
S2,WU04,N,6,True,PASS,4,2,2,4,0,0,4,4
S2,WU05,N,6,True,PASS,4,2,2,4,0,0,4,4
S2,WU06,N,6,True,PASS,4,2,2,4,0,0,4,4
S2,WU07,N,5,True,PASS,3,2,1,3,0,0,3,3
S2,WU08,N,7,True,PASS,5,2,3,5,0,0,5,5
S2,WU09,N,7,True,PASS,5,2,3,5,0,0,5,5
S3,WU01,Y,5,True,PASS,3,2,1,3,0,0,3,3
S3,WU02,Y,5,True,PASS,3,2,1,3,0,0,3,3
S3,WU03,Y,5,True,PASS,3,1,2,3,0,0,3,3
S3,WU04,Y,6,True,PASS,4,2,2,4,0,0,4,4
S3,WU05,Y,5,True,PASS,3,1,2,3,0,0,3,3
S3,WU06,Y,5,True,PASS,3,2,1,3,0,0,3,3
S3,WU07,Y,7,True,PASS,5,2,3,5,0,0,5,5
S3,WU11,Y,6,True,PASS,4,2,2,4,0,0,4,4
S4,WU01,Y,5,True,PASS,3,1,2,3,0,0,3,3
S4,WU02,Y,4,True,PASS,2,1,1,2,0,0,2,2
S4,WU03,Y,5,True,PASS,3,1,2,3,0,0,3,3
S4,WU04,Y,4,True,PASS,2,1,1,2,0,0,2,2
S4,WU05,Y,5,True,PASS,3,1,2,3,0,0,3,3
S4,WU06,Y,4,True,PASS,2,1,1,2,0,0,2,2
S4,WU07,Y,5,True,PASS,3,1,2,3,0,0,3,3
S4,WU08,Y,5,True,PASS,3,1,2,3,0,0,3,3
S4,WU10,Y,4,True,PASS,2,1,1,2,0,0,2,2
S5,WU01,Y,3,True,PASS,1,1,0,1,0,0,1,1
S5,WU02,Y,4,True,PASS,2,1,1,2,0,0,2,2
S5,WU03,Y,4,True,PASS,2,1,1,2,0,0,2,2
S5,WU04,Y,4,True,PASS,2,1,1,2,0,0,2,2
S5,WU05,Y,5,True,PASS,3,1,2,3,0,0,3,3
S5,WU07,Y,5,True,PASS,3,1,2,3,0,0,3,3
S5,WU08,Y,3,True,PASS,1,0,1,1,0,0,1,1
S5,WU09,Y,3,True,PASS,1,1,0,1,0,0,1,1
S7,WU01,Y,6,True,PASS,4,2,2,4,0,0,4,4
S7,WU02,Y,5,True,PASS,3,2,1,3,0,0,3,3
S7,WU03,Y,6,True,PASS,4,2,2,4,0,0,4,4
S7,WU04,Y,5,True,PASS,3,1,2,3,0,0,3,3
S7,WU05,Y,7,True,PASS,5,2,3,5,0,0,5,5
S7,WU06,Y,3,True,PASS,1,0,1,1,0,0,1,1
S7,WU07,Y,5,True,PASS,3,2,1,3,0,0,3,3
S7,WU09,Y,5,True,PASS,3,1,2,3,0,0,3,3
S8,WU01,Y,5,True,PASS,3,1,2,3,0,0,3,3
S8,WU02,Y,6,True,PASS,4,2,2,4,0,0,4,4
S8,WU03,Y,4,True,PASS,2,1,1,2,0,0,2,2
S8,WU04,Y,5,True,PASS,3,2,1,3,0,0,3,3
S8,WU05,Y,6,True,PASS,4,2,2,4,0,0,4,4
S8,WU06,Y,6,True,PASS,4,2,2,4,0,0,4,4
S8,WU07,Y,5,True,PASS,3,2,1,3,0,0,3,3
S8,WU08,Y,5,True,PASS,3,2,1,3,0,0,3,3
S8,WU09,Y,6,True,PASS,4,2,2,4,0,0,4,4
S9,WU01,N,5,True,PASS,3,2,1,3,0,0,3,3
S9,WU02,N,6,True,PASS,4,2,2,4,0,0,4,4
S9,WU03,N,5,True,PASS,3,2,1,3,0,0,3,3
S9,WU04,N,6,True,PASS,4,2,2,4,0,0,4,4
S9,WU05,N,5,True,PASS,3,1,2,3,0,0,3,3
S9,WU06,N,5,True,PASS,3,2,1,3,0,0,3,3
S9,WU07,N,7,True,PASS,5,2,3,5,0,0,5,5
S9,WU08,N,6,True,PASS,4,2,2,4,0,0,4,4
S9,WU09,N,6,True,PASS,4,2,2,4,0,0,4,4
S11,WU01,N,4,True,PASS,2,1,1,2,0,0,2,2
S11,WU02,N,4,True,PASS,2,1,1,2,0,0,2,2
S11,WU03,N,5,True,PASS,3,2,1,3,0,0,3,3
S11,WU04,N,4,True,PASS,2,1,1,2,0,0,2,2
S11,WU05,N,5,True,PASS,3,1,2,3,0,0,3,3
S11,WU06,N,5,True,PASS,3,1,2,3,0,0,3,3
S11,WU07,N,4,True,PASS,2,1,1,2,0,0,2,2
S11,WU08,N,5,True,PASS,3,1,2,3,0,0,3,3
S11,WU09,N,5,True,PASS,3,1,2,3,0,0,3,3
S12,WU01Copy,N,4,True,PASS,2,1,1,2,0,0,2,2
S12,WU02Copy,N,3,True,PASS,1,1,0,1,0,0,1,1
S12,WU03Copy,N,5,True,PASS,3,2,1,3,0,0,3,3
S12,WU04Copy,N,4,True,PASS,2,1,1,2,0,0,2,2
