,min,q25,median,q75,max
LHipAngles_ax1_min,-28.617773056030273,-10.366844177246094,-4.050926685333252,3.837827205657959,12.456869125366211
LHipAngles_ax1_max,21.72604751586914,37.819435119628906,42.61010932922363,50.612351417541504,57.876670837402344
LHipAngles_ax1_mean,-0.17491836004918165,17.15343690235721,22.100343229470425,29.798432153050264,36.94165841659697
LHipAngles_ax1_median,1.3009124994277954,19.660072803497314,24.998459815979004,31.25391149520874,40.8382568359375
LHipAngles_ax1_std,10.698217670689333,15.732669395143343,16.483465604059113,17.575633865296545,21.05104802981904
LHipAngles_ax1_rom,34.96133255958557,44.372602224349976,46.46229696273804,49.475218296051025,60.01304817199707
LHipAngles_ax1_tmin_pct,2.0,6.0,53.0,56.0,100.0
LHipAngles_ax1_tmax_pct,0.0,38.0,42.0,89.0,100.0
LHipAngles_ax1_peak_vel,154.69994704636002,205.04868371049312,221.39094624238555,239.58164948784548,298.0669829464748
LHipAngles_ax1_tpeak_vel_pct,16.0,22.0,46.0,72.0,84.0
LHipAngles_ax1_vel_rms,70.08286543018896,99.96290920945191,107.72514299956364,116.37726825471336,140.354276410922
LHipAngles_ax1_peak_acc,1173.4318868691555,1967.709851947693,2309.270137906714,2869.793379670429,5582.993125600465
LHipAngles_ax1_acc_rms,618.2771163034233,891.2996014204775,1035.2678134115354,1210.3413419266553,1962.5051728016788
LHipAngles_ax2_min,-19.13821792602539,-10.196852684020996,-8.298506259918213,-5.64331841468811,0.7493581175804138
LHipAngles_ax2_max,0.3965364396572113,5.31198525428772,7.7181689739227295,10.753703355789185,16.326679229736328
LHipAngles_ax2_mean,-6.965778212514844,-1.6256033563018215,0.48051634910378127,3.3617543769368696,7.238055624141552
LHipAngles_ax2_median,-7.306184768676758,-1.920351356267929,0.4934023320674896,3.3192440271377563,7.253231525421143
LHipAngles_ax2_std,2.6423106455253276,4.147162135002753,4.6607110808485,5.163466052958074,6.816138752439269
LHipAngles_ax2_rom,8.750080704689026,14.026733040809631,16.016149520874023,18.14498734474182,25.04530429840088
LHipAngles_ax2_tmin_pct,0.0,19.0,29.5,69.0,99.0
LHipAngles_ax2_tmax_pct,0.0,20.0,34.5,70.0,100.0
LHipAngles_ax2_peak_vel,41.230172693228596,75.25987195485892,88.74240792723421,104.08983751361079,145.03796600795334
LHipAngles_ax2_tpeak_vel_pct,0.0,12.0,27.0,61.0,100.0
LHipAngles_ax2_vel_rms,19.80860687556881,35.309734802157735,40.61187582015038,47.16449733001795,68.03640392042676
LHipAngles_ax2_peak_acc,541.8690492992195,1351.5475115440656,1726.4143773585029,2275.426100185344,4772.249145376828
LHipAngles_ax2_acc_rms,233.97579566282596,531.3874239623909,661.7692847847463,821.4904378237862,1374.8792283335576
LHipAngles_ax3_min,-73.01094055175781,-31.593027591705322,-18.44679546356201,-7.656884670257568,20.764219284057617
LHipAngles_ax3_max,-27.003276824951172,-10.585490942001343,2.7970412969589233,13.671760559082031,75.64277648925781
LHipAngles_ax3_mean,-35.22140002486729,-18.56957793943953,-5.890302710198235,5.480401764457842,31.902461325768197
LHipAngles_ax3_median,-34.731693267822266,-18.9268798828125,-6.06167459487915,5.676315426826477,31.223115921020508
LHipAngles_ax3_std,1.7433255081122339,3.780025793656945,4.626820996527817,6.035223294053672,27.49322174681308
LHipAngles_ax3_rom,6.609477639198303,14.44751289486885,20.136722683906555,24.713205337524414,98.38564109802246
LHipAngles_ax3_tmin_pct,0.0,10.0,50.0,75.25,100.0
LHipAngles_ax3_tmax_pct,0.0,37.0,48.0,86.0,100.0
LHipAngles_ax3_peak_vel,55.5331731612707,148.31270427525098,228.4873455068166,338.53072000105726,774.9016725246805
LHipAngles_ax3_tpeak_vel_pct,0.0,44.0,48.5,95.0,100.0
LHipAngles_ax3_vel_rms,26.742230384152347,58.801678412603145,81.786411479192,111.90423505955908,236.41437466797615
LHipAngles_ax3_peak_acc,956.2474621912651,4213.277710375811,6456.7111909821415,10624.761495132918,21272.32140316555
LHipAngles_ax3_acc_rms,433.6399771813457,1536.147533296772,2317.583851549685,3605.046320644727,6890.812577485523
RHipAngles_ax1_min,-29.30931282043457,-9.345491170883179,-2.3916760683059692,7.380042195320129,17.385202407836914
RHipAngles_ax1_max,20.230424880981445,38.48554611206055,43.31193542480469,51.90371894836426,61.96358108520508
RHipAngles_ax1_mean,-1.4500182705497977,16.901716949746685,23.70218593288803,32.48356191002497,40.08076076696415
RHipAngles_ax1_median,0.9315577745437622,19.310638904571533,26.481541633605957,33.92000770568848,44.0228157043457
RHipAngles_ax1_std,12.027424484892453,15.437413559292015,16.362676984658357,17.343155961934137,21.135464658476156
RHipAngles_ax1_rom,35.3272967338562,43.19793927669525,45.867602705955505,49.134270906448364,58.366183280944824
RHipAngles_ax1_tmin_pct,2.0,6.0,53.5,56.0,100.0
RHipAngles_ax1_tmax_pct,0.0,38.0,43.5,88.0,100.0
RHipAngles_ax1_peak_vel,138.54347617804376,201.62010446930253,217.81875617738922,238.36559303199326,291.6818423527302
RHipAngles_ax1_tpeak_vel_pct,16.0,22.0,46.5,72.0,77.0
RHipAngles_ax1_vel_rms,70.5694953082887,97.55455900414209,106.6493185158786,115.14715011130849,139.4566120268615
RHipAngles_ax1_peak_acc,1212.304963786246,1935.118307490416,2289.262097813429,3109.396517279971,6173.961457116963
RHipAngles_ax1_acc_rms,503.8036979759292,864.3662789807568,998.8110592380349,1231.7436149055538,1976.713254404263
RHipAngles_ax2_min,-19.06815528869629,-8.411385774612427,-6.842910051345825,-4.183383464813232,2.884664297103882
RHipAngles_ax2_max,0.5584468245506287,6.770608186721802,9.020994186401367,11.42632794380188,19.69694709777832
RHipAngles_ax2_mean,-6.520500278432328,-0.09377021984298631,1.4775871249321517,3.977988366638126,11.630755495316912
RHipAngles_ax2_median,-5.974311828613281,-0.3336770012974739,1.4259494543075562,3.8927937150001526,11.452770233154297
RHipAngles_ax2_std,2.1686886507245484,4.193741099793157,4.581845502214007,5.096232983232783,7.352604233253566
RHipAngles_ax2_rom,7.376193523406982,13.854941964149475,15.86823683977127,17.579467296600342,23.91511058807373
RHipAngles_ax2_tmin_pct,0.0,19.0,49.0,69.0,100.0
RHipAngles_ax2_tmax_pct,1.0,20.0,57.0,70.0,100.0
RHipAngles_ax2_peak_vel,43.55548936940211,77.75572818904628,87.92226160562183,100.12729457730086,154.40716893111275
RHipAngles_ax2_tpeak_vel_pct,0.0,11.0,27.0,61.0,100.0
RHipAngles_ax2_vel_rms,21.355993574723627,36.47991989261878,41.12579769844417,46.79132828064106,66.8188187048579
RHipAngles_ax2_peak_acc,598.550940595867,1398.5554003178038,1715.3338841139475,2231.2507187281126,5032.013611424785
RHipAngles_ax2_acc_rms,249.0652883288582,542.0458362705251,679.5333952978037,841.0898711621955,1294.7977697392341
RHipAngles_ax3_min,-58.198516845703125,-36.356550216674805,-26.912504196166992,-16.313061237335205,11.41913890838623
RHipAngles_ax3_max,-33.21885299682617,-15.44147777557373,-7.8204920291900635,5.592267751693726,69.68574523925781
RHipAngles_ax3_mean,-40.1138982678404,-22.750133991241455,-15.268179322233294,-3.8836701221690317,18.998524127620282
RHipAngles_ax3_median,-39.92759704589844,-21.77754497528076,-14.721054553985596,-4.12797749042511,18.19867515563965
RHipAngles_ax3_std,2.0449521120409626,3.8444702293215154,4.748391340871594,6.323514342712531,24.8473442491911
RHipAngles_ax3_rom,7.329425811767578,16.02814507484436,20.513550996780396,25.66043186187744,91.38176345825195
RHipAngles_ax3_tmin_pct,0.0,24.0,50.0,76.25,100.0
RHipAngles_ax3_tmax_pct,0.0,31.0,50.5,80.0,100.0
RHipAngles_ax3_peak_vel,48.020429610545925,169.67307947068923,249.0598776101711,309.32045988534895,757.2756098819688
RHipAngles_ax3_tpeak_vel_pct,0.0,44.0,47.0,95.0,100.0
RHipAngles_ax3_vel_rms,21.149044321887565,65.26774270034866,87.16954527939534,106.51322428785852,207.57193615479596
RHipAngles_ax3_peak_acc,1053.843386433014,4738.740302537671,7420.701836533104,10470.609534154115,23933.0640354901
RHipAngles_ax3_acc_rms,413.4925982898569,1732.1923007598707,2627.160750743533,3354.9541421202175,7549.284655314267
LKneeAngles_ax1_min,-7.463991641998291,3.620323956012726,6.85784387588501,10.50291633605957,17.380693435668945
LKneeAngles_ax1_max,59.71735763549805,66.95316505432129,71.0546760559082,74.85253524780273,83.91219329833984
LKneeAngles_ax1_mean,17.28864268796279,24.94173094792531,29.619557816203276,32.53649588268582,38.62987825185946
LKneeAngles_ax1_median,7.514357566833496,17.002514362335205,21.918314933776855,25.23813533782959,32.34111785888672
LKneeAngles_ax1_std,16.034081836052575,19.437137160612423,20.254365559225334,21.27816304031937,24.067793785897134
LKneeAngles_ax1_rom,52.212480545043945,61.80673062801361,63.821096897125244,66.74049898222438,77.13832712173462
LKneeAngles_ax1_tmin_pct,0.0,44.0,50.0,94.0,100.0
LKneeAngles_ax1_tmax_pct,22.0,27.0,51.0,76.0,82.0
LKneeAngles_ax1_peak_vel,280.2628280837439,395.5556570289034,429.4667770994182,470.7954718200422,562.1011977990661
LKneeAngles_ax1_tpeak_vel_pct,13.0,41.0,54.0,91.0,94.0
LKneeAngles_ax1_vel_rms,132.47567934614983,183.83837850436507,194.09841912151666,205.2698091081909,244.1587963441996
LKneeAngles_ax1_peak_acc,3698.319963833712,5338.878789381061,6225.883497429336,7691.189981306455,14753.650645587217
LKneeAngles_ax1_acc_rms,1564.2387800009838,2258.193380331575,2535.498147811445,2909.3072906001767,3926.194537163883
LKneeAngles_ax2_min,-53.04118347167969,-21.337648391723633,-9.475888729095459,-4.092470765113831,3.6272125244140625
LKneeAngles_ax2_max,-12.417932510375977,-4.482717156410217,4.317699432373047,9.846860647201538,36.494529724121094
LKneeAngles_ax2_mean,-21.66530934890898,-8.339406799561907,-2.5045034762582565,1.332115052885717,11.160178666067596
LKneeAngles_ax2_median,-18.004899978637695,-7.90316641330719,-2.465025544166565,1.3937462866306305,8.987184524536133
LKneeAngles_ax2_std,1.1619423345718556,3.1923992289718273,4.555799333157893,6.579510930706928,14.535347425023316
LKneeAngles_ax2_rom,4.266209602355957,12.435084462165833,16.28940486907959,22.565324306488037,50.62602424621582
LKneeAngles_ax2_tmin_pct,0.0,25.0,50.0,75.0,100.0
LKneeAngles_ax2_tmax_pct,0.0,34.0,50.0,85.0,100.0
LKneeAngles_ax2_peak_vel,42.63809944177854,116.70262711861555,156.44777713642475,197.25325302088538,464.43775118748965
LKneeAngles_ax2_tpeak_vel_pct,0.0,33.0,46.5,83.0,100.0
LKneeAngles_ax2_vel_rms,18.613883311575723,43.874586198364725,60.417243712862984,73.69231171055404,145.61655896592373
LKneeAngles_ax2_peak_acc,1045.1997378100227,2661.14743366201,3845.978625155934,5324.684508090635,9928.269106284393
LKneeAngles_ax2_acc_rms,423.39397639852905,1011.1143431528166,1378.2150839023864,1926.7946735361672,3401.459923610214
LKneeAngles_ax3_min,-49.402095794677734,-30.747612953186035,-20.08195209503174,-15.648578405380249,5.584663391113281
LKneeAngles_ax3_max,-22.696321487426758,-8.227709770202637,-0.8758018314838409,6.143867254257202,32.35603713989258
LKneeAngles_ax3_mean,-31.08876853414101,-18.04099118119419,-8.516756033119146,-6.109680001559381,16.017818011859855
LKneeAngles_ax3_median,-31.369922637939453,-17.73155641555786,-8.111879825592041,-5.7870177030563354,16.448965072631836
LKneeAngles_ax3_std,2.063458146363411,4.044659930259178,4.905077960105277,6.479835730716143,18.875336166415725
