name,level,family,source_signal,n_valid_cycles,n_cycles,missing_fraction_cycles,n_valid_subjects,n_subjects,missing_fraction_subjects
LHipAngles_ax1_min,cycle,kinematic,LHipAngles,880,880,0.0,31,31,0.0
LHipAngles_ax1_max,cycle,kinematic,LHipAngles,880,880,0.0,31,31,0.0
LHipAngles_ax1_mean,cycle,kinematic,LHipAngles,880,880,0.0,31,31,0.0
LHipAngles_ax1_median,cycle,kinematic,LHipAngles,880,880,0.0,31,31,0.0
LHipAngles_ax1_std,cycle,kinematic,LHipAngles,880,880,0.0,31,31,0.0
LHipAngles_ax1_rom,cycle,kinematic,LHipAngles,880,880,0.0,31,31,0.0
LHipAngles_ax1_tmin_pct,cycle,kinematic,LHipAngles,880,880,0.0,31,31,0.0
LHipAngles_ax1_tmax_pct,cycle,kinematic,LHipAngles,880,880,0.0,31,31,0.0
LHipAngles_ax1_peak_vel,cycle,kinematic,LHipAngles,880,880,0.0,31,31,0.0
LHipAngles_ax1_tpeak_vel_pct,cycle,kinematic,LHipAngles,880,880,0.0,31,31,0.0
LHipAngles_ax1_vel_rms,cycle,kinematic,LHipAngles,880,880,0.0,31,31,0.0
LHipAngles_ax1_peak_acc,cycle,kinematic,LHipAngles,880,880,0.0,31,31,0.0
LHipAngles_ax1_acc_rms,cycle,kinematic,LHipAngles,880,880,0.0,31,31,0.0
LHipAngles_ax2_min,cycle,kinematic,LHipAngles,880,880,0.0,31,31,0.0
LHipAngles_ax2_max,cycle,kinematic,LHipAngles,880,880,0.0,31,31,0.0
LHipAngles_ax2_mean,cycle,kinematic,LHipAngles,880,880,0.0,31,31,0.0
LHipAngles_ax2_median,cycle,kinematic,LHipAngles,880,880,0.0,31,31,0.0
LHipAngles_ax2_std,cycle,kinematic,LHipAngles,880,880,0.0,31,31,0.0
LHipAngles_ax2_rom,cycle,kinematic,LHipAngles,880,880,0.0,31,31,0.0
LHipAngles_ax2_tmin_pct,cycle,kinematic,LHipAngles,880,880,0.0,31,31,0.0
LHipAngles_ax2_tmax_pct,cycle,kinematic,LHipAngles,880,880,0.0,31,31,0.0
LHipAngles_ax2_peak_vel,cycle,kinematic,LHipAngles,880,880,0.0,31,31,0.0
LHipAngles_ax2_tpeak_vel_pct,cycle,kinematic,LHipAngles,880,880,0.0,31,31,0.0
LHipAngles_ax2_vel_rms,cycle,kinematic,LHipAngles,880,880,0.0,31,31,0.0
LHipAngles_ax2_peak_acc,cycle,kinematic,LHipAngles,880,880,0.0,31,31,0.0
LHipAngles_ax2_acc_rms,cycle,kinematic,LHipAngles,880,880,0.0,31,31,0.0
LHipAngles_ax3_min,cycle,kinematic,LHipAngles,880,880,0.0,31,31,0.0
LHipAngles_ax3_max,cycle,kinematic,LHipAngles,880,880,0.0,31,31,0.0
LHipAngles_ax3_mean,cycle,kinematic,LHipAngles,880,880,0.0,31,31,0.0
LHipAngles_ax3_median,cycle,kinematic,LHipAngles,880,880,0.0,31,31,0.0
LHipAngles_ax3_std,cycle,kinematic,LHipAngles,880,880,0.0,31,31,0.0
LHipAngles_ax3_rom,cycle,kinematic,LHipAngles,880,880,0.0,31,31,0.0
LHipAngles_ax3_tmin_pct,cycle,kinematic,LHipAngles,880,880,0.0,31,31,0.0
LHipAngles_ax3_tmax_pct,cycle,kinematic,LHipAngles,880,880,0.0,31,31,0.0
LHipAngles_ax3_peak_vel,cycle,kinematic,LHipAngles,880,880,0.0,31,31,0.0
LHipAngles_ax3_tpeak_vel_pct,cycle,kinematic,LHipAngles,880,880,0.0,31,31,0.0
LHipAngles_ax3_vel_rms,cycle,kinematic,LHipAngles,880,880,0.0,31,31,0.0
LHipAngles_ax3_peak_acc,cycle,kinematic,LHipAngles,880,880,0.0,31,31,0.0
LHipAngles_ax3_acc_rms,cycle,kinematic,LHipAngles,880,880,0.0,31,31,0.0
RHipAngles_ax1_min,cycle,kinematic,RHipAngles,880,880,0.0,31,31,0.0
RHipAngles_ax1_max,cycle,kinematic,RHipAngles,880,880,0.0,31,31,0.0
RHipAngles_ax1_mean,cycle,kinematic,RHipAngles,880,880,0.0,31,31,0.0
RHipAngles_ax1_median,cycle,kinematic,RHipAngles,880,880,0.0,31,31,0.0
RHipAngles_ax1_std,cycle,kinematic,RHipAngles,880,880,0.0,31,31,0.0
RHipAngles_ax1_rom,cycle,kinematic,RHipAngles,880,880,0.0,31,31,0.0
RHipAngles_ax1_tmin_pct,cycle,kinematic,RHipAngles,880,880,0.0,31,31,0.0
RHipAngles_ax1_tmax_pct,cycle,kinematic,RHipAngles,880,880,0.0,31,31,0.0
RHipAngles_ax1_peak_vel,cycle,kinematic,RHipAngles,880,880,0.0,31,31,0.0
RHipAngles_ax1_tpeak_vel_pct,cycle,kinematic,RHipAngles,880,880,0.0,31,31,0.0
RHipAngles_ax1_vel_rms,cycle,kinematic,RHipAngles,880,880,0.0,31,31,0.0
RHipAngles_ax1_peak_acc,cycle,kinematic,RHipAngles,880,880,0.0,31,31,0.0
RHipAngles_ax1_acc_rms,cycle,kinematic,RHipAngles,880,880,0.0,31,31,0.0
RHipAngles_ax2_min,cycle,kinematic,RHipAngles,880,880,0.0,31,31,0.0
RHipAngles_ax2_max,cycle,kinematic,RHipAngles,880,880,0.0,31,31,0.0
RHipAngles_ax2_mean,cycle,kinematic,RHipAngles,880,880,0.0,31,31,0.0
RHipAngles_ax2_median,cycle,kinematic,RHipAngles,880,880,0.0,31,31,0.0
RHipAngles_ax2_std,cycle,kinematic,RHipAngles,880,880,0.0,31,31,0.0
RHipAngles_ax2_rom,cycle,kinematic,RHipAngles,880,880,0.0,31,31,0.0
RHipAngles_ax2_tmin_pct,cycle,kinematic,RHipAngles,880,880,0.0,31,31,0.0
RHipAngles_ax2_tmax_pct,cycle,kinematic,RHipAngles,880,880,0.0,31,31,0.0
RHipAngles_ax2_peak_vel,cycle,kinematic,RHipAngles,880,880,0.0,31,31,0.0
RHipAngles_ax2_tpeak_vel_pct,cycle,kinematic,RHipAngles,880,880,0.0,31,31,0.0
RHipAngles_ax2_vel_rms,cycle,kinematic,RHipAngles,880,880,0.0,31,31,0.0
RHipAngles_ax2_peak_acc,cycle,kinematic,RHipAngles,880,880,0.0,31,31,0.0
RHipAngles_ax2_acc_rms,cycle,kinematic,RHipAngles,880,880,0.0,31,31,0.0
RHipAngles_ax3_min,cycle,kinematic,RHipAngles,880,880,0.0,31,31,0.0
RHipAngles_ax3_max,cycle,kinematic,RHipAngles,880,880,0.0,31,31,0.0
RHipAngles_ax3_mean,cycle,kinematic,RHipAngles,880,880,0.0,31,31,0.0
RHipAngles_ax3_median,cycle,kinematic,RHipAngles,880,880,0.0,31,31,0.0
RHipAngles_ax3_std,cycle,kinematic,RHipAngles,880,880,0.0,31,31,0.0
RHipAngles_ax3_rom,cycle,kinematic,RHipAngles,880,880,0.0,31,31,0.0
RHipAngles_ax3_tmin_pct,cycle,kinematic,RHipAngles,880,880,0.0,31,31,0.0
RHipAngles_ax3_tmax_pct,cycle,kinematic,RHipAngles,880,880,0.0,31,31,0.0
RHipAngles_ax3_peak_vel,cycle,kinematic,RHipAngles,880,880,0.0,31,31,0.0
RHipAngles_ax3_tpeak_vel_pct,cycle,kinematic,RHipAngles,880,880,0.0,31,31,0.0
RHipAngles_ax3_vel_rms,cycle,kinematic,RHipAngles,880,880,0.0,31,31,0.0
RHipAngles_ax3_peak_acc,cycle,kinematic,RHipAngles,880,880,0.0,31,31,0.0
RHipAngles_ax3_acc_rms,cycle,kinematic,RHipAngles,880,880,0.0,31,31,0.0
LKneeAngles_ax1_min,cycle,kinematic,LKneeAngles,880,880,0.0,31,31,0.0
LKneeAngles_ax1_max,cycle,kinematic,LKneeAngles,880,880,0.0,31,31,0.0
LKneeAngles_ax1_mean,cycle,kinematic,LKneeAngles,880,880,0.0,31,31,0.0
LKneeAngles_ax1_median,cycle,kinematic,LKneeAngles,880,880,0.0,31,31,0.0
LKneeAngles_ax1_std,cycle,kinematic,LKneeAngles,880,880,0.0,31,31,0.0
LKneeAngles_ax1_rom,cycle,kinematic,LKneeAngles,880,880,0.0,31,31,0.0
LKneeAngles_ax1_tmin_pct,cycle,kinematic,LKneeAngles,880,880,0.0,31,31,0.0
LKneeAngles_ax1_tmax_pct,cycle,kinematic,LKneeAngles,880,880,0.0,31,31,0.0
LKneeAngles_ax1_peak_vel,cycle,kinematic,LKneeAngles,880,880,0.0,31,31,0.0
LKneeAngles_ax1_tpeak_vel_pct,cycle,kinematic,LKneeAngles,880,880,0.0,31,31,0.0
LKneeAngles_ax1_vel_rms,cycle,kinematic,LKneeAngles,880,880,0.0,31,31,0.0
LKneeAngles_ax1_peak_acc,cycle,kinematic,LKneeAngles,880,880,0.0,31,31,0.0
LKneeAngles_ax1_acc_rms,cycle,kinematic,LKneeAngles,880,880,0.0,31,31,0.0
LKneeAngles_ax2_min,cycle,kinematic,LKneeAngles,880,880,0.0,31,31,0.0
LKneeAngles_ax2_max,cycle,kinematic,LKneeAngles,880,880,0.0,31,31,0.0
LKneeAngles_ax2_mean,cycle,kinematic,LKneeAngles,880,880,0.0,31,31,0.0
LKneeAngles_ax2_median,cycle,kinematic,LKneeAngles,880,880,0.0,31,31,0.0
LKneeAngles_ax2_std,cycle,kinematic,LKneeAngles,880,880,0.0,31,31,0.0
LKneeAngles_ax2_rom,cycle,kinematic,LKneeAngles,880,880,0.0,31,31,0.0
LKneeAngles_ax2_tmin_pct,cycle,kinematic,LKneeAngles,880,880,0.0,31,31,0.0
LKneeAngles_ax2_tmax_pct,cycle,kinematic,LKneeAngles,880,880,0.0,31,31,0.0
LKneeAngles_ax2_peak_vel,cycle,kinematic,LKneeAngles,880,880,0.0,31,31,0.0
LKneeAngles_ax2_tpeak_vel_pct,cycle,kinematic,LKneeAngles,880,880,0.0,31,31,0.0
LKneeAngles_ax2_vel_rms,cycle,kinematic,LKneeAngles,880,880,0.0,31,31,0.0
LKneeAngles_ax2_peak_acc,cycle,kinematic,LKneeAngles,880,880,0.0,31,31,0.0
LKneeAngles_ax2_acc_rms,cycle,kinematic,LKneeAngles,880,880,0.0,31,31,0.0
LKneeAngles_ax3_min,cycle,kinematic,LKneeAngles,880,880,0.0,31,31,0.0
LKneeAngles_ax3_max,cycle,kinematic,LKneeAngles,880,880,0.0,31,31,0.0
LKneeAngles_ax3_mean,cycle,kinematic,LKneeAngles,880,880,0.0,31,31,0.0
LKneeAngles_ax3_median,cycle,kinematic,LKneeAngles,880,880,0.0,31,31,0.0
LKneeAngles_ax3_std,cycle,kinematic,LKneeAngles,880,880,0.0,31,31,0.0
LKneeAngles_ax3_rom,cycle,kinematic,LKneeAngles,880,880,0.0,31,31,0.0
LKneeAngles_ax3_tmin_pct,cycle,kinematic,LKneeAngles,880,880,0.0,31,31,0.0
LKneeAngles_ax3_tmax_pct,cycle,kinematic,LKneeAngles,880,880,0.0,31,31,0.0
LKneeAngles_ax3_peak_vel,cycle,kinematic,LKneeAngles,880,880,0.0,31,31,0.0
LKneeAngles_ax3_tpeak_vel_pct,cycle,kinematic,LKneeAngles,880,880,0.0,31,31,0.0
LKneeAngles_ax3_vel_rms,cycle,kinematic,LKneeAngles,880,880,0.0,31,31,0.0
LKneeAngles_ax3_peak_acc,cycle,kinematic,LKneeAngles,880,880,0.0,31,31,0.0
LKneeAngles_ax3_acc_rms,cycle,kinematic,LKneeAngles,880,880,0.0,31,31,0.0
