rank,feature,signature_status,direction,cliffs_delta,cliffs_magnitude,fdr_q,perm_p,loso_direction_agreement,victim_consistency,control_consistency,anatomical_region,family,rank_score
1,LHipAngles_ax3_tpeak_vel_pct__median,exploratory,VICTIMS_LOWER,-0.49159663865546216,large,0.9960585779461091,0.028,1.0,0.8823529411764706,0.7857142857142857,hip,kinematic,0.06506426099851705
2,LKneeAngles_ax3_tmax_pct__median,exploratory,VICTIMS_LOWER,-0.542016806722689,large,0.9960585779461091,0.008,1.0,0.7647058823529411,0.8571428571428571,knee,kinematic,0.062172516065249615
3,RKneeAngles_ax3_peak_acc__median,exploratory,VICTIMS_HIGHER,0.48739495798319327,large,0.9960585779461091,0.024,1.0,0.8235294117647058,0.8571428571428571,knee,kinematic,0.06020761245674739
4,LFootProgressAngles_ax2_mean__median,exploratory,VICTIMS_LOWER,-0.4369747899159664,medium,0.9960585779461091,0.047,1.0,0.8823529411764706,0.7142857142857143,foot,kinematic,0.057834898665348494
5,LFootProgressAngles_ax1_std__median,exploratory,VICTIMS_LOWER,-0.4117647058823529,medium,0.9960585779461091,0.058,1.0,0.8823529411764706,0.6428571428571429,foot,kinematic,0.05449826989619377
6,RAnkleAngles_ax3_peak_acc__median,exploratory,VICTIMS_HIGHER,0.3949579831932773,medium,0.9960585779461091,0.062,1.0,0.8823529411764706,0.7142857142857143,ankle,kinematic,0.05227385071675729
7,LHipAngles_ax2_tpeak_vel_pct__median,exploratory,VICTIMS_LOWER,-0.42436974789915966,medium,0.9960585779461091,0.054,1.0,0.7647058823529411,0.7857142857142857,hip,kinematic,0.04867770637666831
8,LAnkleAngles_ax1_phase_40_50_rom__median,exploratory,VICTIMS_LOWER,-0.46218487394957986,medium,0.9960585779461091,0.037,1.0,0.7647058823529411,0.9285714285714286,ankle,phase,0.047713791398912506
9,RFootProgressAngles_ax3_peak_acc__median,exploratory,VICTIMS_HIGHER,0.4117647058823529,medium,0.9960585779461091,0.07,1.0,0.7647058823529411,0.9285714285714286,foot,kinematic,0.0472318339100346
10,LKneeAngles_ax3_peak_acc__median,exploratory,VICTIMS_HIGHER,0.35294117647058826,medium,0.9960585779461091,0.101,1.0,0.8823529411764706,0.6428571428571429,knee,kinematic,0.04671280276816609
11,RKneeAngles_ax1_phase_0_10_rom__median,exploratory,VICTIMS_LOWER,-0.3865546218487395,medium,0.9960585779461091,0.074,1.0,0.8823529411764706,0.7142857142857143,knee,phase,0.04604547701433515
12,LAnkleAngles_ax2_tmin_pct__median,exploratory,VICTIMS_HIGHER,0.3319327731092437,medium,0.9960585779461091,0.113,1.0,0.8823529411764706,0.7142857142857143,ankle,kinematic,0.04393227879387049
13,sym_HipAngles_ax1_tmax_pct_absdiff,exploratory,VICTIMS_LOWER,-0.4117647058823529,medium,0.9960585779461091,0.051,1.0,0.8235294117647058,0.7142857142857143,hip,symmetry,0.04323529411764705
14,RHipAngles_ax1_phase_60_70_rom__median,exploratory,VICTIMS_HIGHER,0.3865546218487395,medium,0.9960585779461091,0.062,1.0,0.8235294117647058,0.8571428571428571,hip,phase,0.0429757785467128
15,LHipAngles_ax3_tmax_pct__median,exploratory,VICTIMS_LOWER,-0.3949579831932773,medium,0.9960585779461091,0.052,1.0,0.7058823529411765,0.6428571428571429,hip,kinematic,0.04181908057340583
16,RKneeAngles_ax2_tmax_pct__median,exploratory,VICTIMS_HIGHER,0.3487394957983193,medium,0.9960585779461091,0.104,1.0,0.7647058823529411,0.6428571428571429,knee,kinematic,0.04000247157686603
17,RHipAngles_ax1_peak_acc__median,exploratory,VICTIMS_HIGHER,0.33613445378151263,medium,0.9960585779461091,0.122,1.0,0.7647058823529411,0.7857142857142857,hip,kinematic,0.03855659911023233
18,RKneeAngles_ax1_phase_20_30_rom__median,exploratory,VICTIMS_LOWER,-0.3949579831932773,medium,0.9960585779461091,0.066,1.0,0.7058823529411765,0.9285714285714286,knee,phase,0.03763717251606525
19,RHipAngles_ax1_median__median,exploratory,VICTIMS_HIGHER,0.3277310924369748,small,0.9960585779461091,0.13,1.0,0.7647058823529411,0.7142857142857143,hip,kinematic,0.03759268413247652
20,LKneeAngles_ax2_tmax_pct__median,exploratory,VICTIMS_LOWER,-0.35294117647058826,medium,0.9960585779461091,0.097,1.0,0.7058823529411765,0.7857142857142857,knee,kinematic,0.037370242214532876
