feature,n_subjects,n_victims,n_controls,victim_median,control_median,victim_mean,control_mean,abs_median_diff,rel_median_diff,cliffs_delta,standardized_median_iqr,cliffs_delta_ci_lo,cliffs_delta_ci_hi,cliffs_magnitude,direction,victim_consistency,control_consistency,mannwhitney_u,raw_p,test,fdr_q,adjusted_p,full_cliffs_delta,loso_delta_median,loso_delta_min,loso_delta_max,loso_direction_agreement,loso_max_abs_shift,observed_cliffs_delta,perm_p,n_perm,unit,anatomical_region,family,side,source_signal,rank_score,signature_status,rank,phase_lo,phase_hi,phase_mid
LAnkleAngles_ax1_phase_40_50_rom__median,31,17,14,1.8446979522705078,3.2468125224113464,2.844702916986802,3.378047525882721,1.4021145701408386,-0.4318434034803816,-0.46218487394957986,-0.918741908773201,-0.8151260504201681,-0.06722689075630252,medium,VICTIMS_LOWER,0.7647058823529411,0.9285714285714286,64.0,0.030515468558537658,mannwhitneyu_two_sided,0.9960585779461091,0.9960585779461091,-0.46218487394957986,-0.4479638009049774,-0.5565610859728507,-0.42857142857142855,1.0,0.09437621202327084,-0.46218487394957986,0.037,999,subject,ankle,phase,left,LAnkleAngles,0.047713791398912506,exploratory,8,40,50,45.0
RKneeAngles_ax1_phase_0_10_rom__median,31,17,14,11.008238315582275,13.275313138961792,11.088118258644553,12.402709578829151,2.2670748233795166,-0.17077373615586255,-0.3865546218487395,-0.7219622089214557,-0.790126050420168,0.025210084033613446,medium,VICTIMS_LOWER,0.8823529411764706,0.7142857142857143,73.0,0.07090482557629343,mannwhitneyu_two_sided,0.9960585779461091,0.9960585779461091,-0.3865546218487395,-0.375,-0.49321266968325794,-0.3393665158371041,1.0,0.10665804783451843,-0.3865546218487395,0.074,999,subject,knee,phase,right,RKneeAngles,0.04604547701433515,exploratory,11,0,10,5.0
RHipAngles_ax1_phase_60_70_rom__median,31,17,14,11.493815183639526,9.904807090759277,11.4112889381016,10.609272497040886,1.589008092880249,0.16042796980495658,0.3865546218487395,0.8459184028337475,0.008403361344537815,0.7647058823529411,medium,VICTIMS_HIGHER,0.8235294117647058,0.8571428571428571,165.0,0.07090482557629343,mannwhitneyu_two_sided,0.9960585779461091,0.9960585779461091,0.3865546218487395,0.3665158371040724,0.35714285714285715,0.49321266968325794,1.0,0.10665804783451843,0.3865546218487395,0.062,999,subject,hip,phase,right,RHipAngles,0.0429757785467128,exploratory,14,60,70,65.0
RKneeAngles_ax1_phase_20_30_rom__median,31,17,14,5.456448554992676,6.892841339111328,6.019351033603444,6.8911522797175815,1.4363927841186523,-0.2083890682305828,-0.3949579831932773,-0.9299919082386233,-0.7647058823529411,0.04201680672268908,medium,VICTIMS_LOWER,0.7058823529411765,0.9285714285714286,72.0,0.06492404931469167,mannwhitneyu_two_sided,0.9960585779461091,0.9960585779461091,-0.3949579831932773,-0.38461538461538464,-0.502262443438914,-0.34841628959276016,1.0,0.10730446024563672,-0.3949579831932773,0.066,999,subject,knee,phase,right,RKneeAngles,0.03763717251606525,exploratory,18,20,30,25.0
LAnkleAngles_ax1_phase_90_100_rom__median,31,17,14,2.6440701484680176,3.535673499107361,3.474690598600051,3.7049458154610226,0.8916033506393433,-0.25217355360002647,-0.33613445378151263,-0.4454180010509007,-0.6890756302521008,0.07563025210084033,medium,VICTIMS_LOWER,0.7058823529411765,0.7857142857142857,79.0,0.11689950779539895,mannwhitneyu_two_sided,0.9960585779461091,0.9960585779461091,-0.33613445378151263,-0.32142857142857145,-0.41964285714285715,-0.29411764705882354,1.0,0.08350840336134452,-0.33613445378151263,0.125,999,subject,ankle,phase,left,LAnkleAngles,0.03203163618388532,exploratory,30,90,100,95.0
LKneeAngles_ax1_phase_50_60_rom__median,31,17,14,10.78540900349617,13.221336841583252,10.861393377184868,11.923670300415584,2.435927838087082,-0.184242173637517,-0.2689075630252101,-0.7065880144555793,-0.7142857142857143,0.14285714285714285,small,VICTIMS_LOWER,0.8823529411764706,0.6428571428571429,87.0,0.2111652971287249,mannwhitneyu_two_sided,0.9960585779461091,0.9960585779461091,-0.2689075630252101,-0.26785714285714285,-0.3665158371040724,-0.21266968325791855,1.0,0.0976082740788623,-0.2689075630252101,0.221,999,subject,knee,phase,left,LKneeAngles,0.03203163618388531,exploratory,31,50,60,55.0
RHipAngles_ax1_phase_50_60_rom__median,31,17,14,2.757620334625244,2.3743213415145874,2.7021768636563244,2.4148735957486287,0.38329899311065674,0.16143517998543072,0.3025210084033613,0.6299811340650348,-0.10084033613445378,0.6724789915966385,small,VICTIMS_HIGHER,0.7647058823529411,0.7857142857142857,155.0,0.1587924654037347,mannwhitneyu_two_sided,0.9960585779461091,0.9960585779461091,0.3025210084033613,0.2857142857142857,0.248868778280543,0.38461538461538464,1.0,0.08209437621202331,0.3025210084033613,0.161,999,subject,hip,phase,right,RHipAngles,0.031230845279288186,exploratory,33,50,60,55.0
LKneeAngles_ax1_phase_10_20_mean__median,31,17,14,32.060254859924314,30.246326160430907,35.00808171664967,31.532263510567795,1.813928699493406,0.059971868645205526,0.2857142857142857,0.1935350466131674,-0.15987394957983192,0.6722689075630253,small,VICTIMS_HIGHER,0.7647058823529411,0.6428571428571429,153.0,0.18359867349944814,mannwhitneyu_two_sided,0.9960585779461091,0.9960585779461091,0.2857142857142857,0.27601809954751133,0.2398190045248869,0.38461538461538464,1.0,0.09890109890109894,0.2857142857142857,0.187,999,subject,knee,phase,left,LKneeAngles,0.029495798319327728,exploratory,39,10,20,15.0
RAnkleAngles_ax1_phase_50_60_min__median,31,17,14,5.994480609893799,3.557046413421631,5.668437133817112,3.254891348736627,2.437434196472168,0.6852410436015441,0.29411764705882354,0.3417399934538435,-0.08403361344537816,0.6556722689075628,small,VICTIMS_HIGHER,0.7058823529411765,0.6428571428571429,154.0,0.17085858498744178,mannwhitneyu_two_sided,0.9960585779461091,0.9960585779461091,0.29411764705882354,0.2850678733031674,0.2398190045248869,0.3755656108597285,1.0,0.08144796380090497,0.29411764705882354,0.193,999,subject,ankle,phase,right,RAnkleAngles,0.02802768166089966,exploratory,48,50,60,55.0
LAnkleAngles_ax1_phase_50_60_rom__median,31,17,14,9.343618035316467,10.667313575744629,9.872910180183894,11.058454579540662,1.3236955404281616,-0.12408893120363357,-0.2857142857142857,-0.4525423714501808,-0.6554621848739496,0.12605042016806722,small,VICTIMS_LOWER,0.7058823529411765,0.7142857142857143,85.0,0.18359867349944814,mannwhitneyu_two_sided,0.9960585779461091,0.9960585779461091,-0.2857142857142857,-0.27601809954751133,-0.3665158371040724,-0.2398190045248869,1.0,0.08080155138978667,-0.2857142857142857,0.193,999,subject,ankle,phase,left,LAnkleAngles,0.027226890756302517,exploratory,50,50,60,55.0
