feature,full_cliffs_delta,loso_delta_median,loso_delta_min,loso_delta_max,loso_direction_agreement,loso_max_abs_shift
RHipAngles_ax1_median__median,0.3277310924369748,0.3212669683257919,0.27601809954751133,0.42081447963800905,1.0,0.09308338720103426
LHipAngles_ax1_rom__median,-0.14285714285714285,-0.13122171945701358,-0.23076923076923078,-0.07692307692307693,1.0,0.08791208791208793
LHipAngles_ax1_tmin_pct__median,-0.06722689075630252,-0.058823529411764705,-0.13574660633484162,0.0,0.9354838709677419,0.0685197155785391
LHipAngles_ax1_tmax_pct__median,-0.04201680672268908,-0.03125,-0.11312217194570136,0.02262443438914027,0.8387096774193549,0.07110536522301228
LHipAngles_ax1_peak_vel__median,-0.05042016806722689,-0.044642857142857144,-0.12217194570135746,0.02262443438914027,0.9032258064516129,0.07304460245636717
RKneeAngles_ax1_phase_90_100_rom__median,0.13445378151260504,0.125,0.07692307692307693,0.22171945701357465,1.0,0.08726567550096961
LHipAngles_ax1_vel_rms__median,-0.008403361344537815,-0.008928571428571428,-0.06787330316742081,0.06787330316742081,0.5806451612903226,0.07627666451195862
RHipAngles_ax1_peak_acc__median,0.33613445378151263,0.3212669683257919,0.29411764705882354,0.43891402714932126,1.0,0.10277957336780863
RKneeAngles_ax1_peak_acc__median,0.12605042016806722,0.125,0.07692307692307693,0.21266968325791855,1.0,0.08661926308985132
LHipAngles_ax2_min__median,0.13445378151260504,0.14027149321266968,0.08035714285714286,0.20535714285714285,1.0,0.07090336134453781
LHipAngles_ax2_max__median,0.08403361344537816,0.06787330316742081,0.013574660633484163,0.167420814479638,1.0,0.08338720103425984
LHipAngles_ax2_std__median,-0.13445378151260504,-0.14027149321266968,-0.22171945701357465,-0.06787330316742081,1.0,0.08726567550096961
LHipAngles_ax2_rom__median,0.025210084033613446,0.008928571428571428,-0.049773755656108594,0.10407239819004525,0.6774193548387096,0.0788623141564318
LHipAngles_ax2_tmin_pct__median,-0.08823529411764706,-0.08144796380090498,-0.17194570135746606,-0.03619909502262444,1.0,0.083710407239819
LHipAngles_ax2_peak_vel__median,0.10084033613445378,0.09821428571428571,0.04072398190045249,0.16964285714285715,1.0,0.06880252100840337
LHipAngles_ax2_tpeak_vel_pct__median,-0.42436974789915966,-0.41517857142857145,-0.5044642857142857,-0.38009049773755654,1.0,0.08009453781512604
LHipAngles_ax2_vel_rms__median,0.10084033613445378,0.08928571428571429,0.03167420814479638,0.18552036199095023,1.0,0.08468002585649645
