feature,observed_cliffs_delta,perm_p,n_perm,unit
RHipAngles_ax1_median__median,0.3277310924369748,0.13,999,subject
LHipAngles_ax1_rom__median,-0.14285714285714285,0.527,999,subject
LHipAngles_ax1_tmin_pct__median,-0.06722689075630252,0.73,999,subject
LHipAngles_ax1_tmax_pct__median,-0.04201680672268908,0.84,999,subject
LHipAngles_ax1_peak_vel__median,-0.05042016806722689,0.845,999,subject
RKneeAngles_ax1_phase_90_100_rom__median,0.13445378151260504,0.518,999,subject
LHipAngles_ax1_vel_rms__median,-0.008403361344537815,0.984,999,subject
RHipAngles_ax1_peak_acc__median,0.33613445378151263,0.122,999,subject
RKneeAngles_ax1_peak_acc__median,0.12605042016806722,0.561,999,subject
LHipAngles_ax2_min__median,0.13445378151260504,0.545,999,subject
LHipAngles_ax2_max__median,0.08403361344537816,0.713,999,subject
LHipAngles_ax2_std__median,-0.13445378151260504,0.534,999,subject
LHipAngles_ax2_rom__median,0.025210084033613446,0.911,999,subject
LHipAngles_ax2_tmin_pct__median,-0.08823529411764706,0.694,999,subject
LHipAngles_ax2_peak_vel__median,0.10084033613445378,0.663,999,subject
LHipAngles_ax2_tpeak_vel_pct__median,-0.42436974789915966,0.054,999,subject
LHipAngles_ax2_vel_rms__median,0.10084033613445378,0.652,999,subject
LHipAngles_ax2_peak_acc__median,0.2689075630252101,0.228,999,subject
LHipAngles_ax3_mean__median,-0.025210084033613446,0.927,999,subject
LHipAngles_ax3_rom__median,0.1092436974789916,0.62,999,subject
LHipAngles_ax3_tmin_pct__median,-0.1092436974789916,0.619,999,subject
LHipAngles_ax3_tmax_pct__median,-0.3949579831932773,0.052,999,subject
LHipAngles_ax3_peak_acc__median,0.0,1.0,999,subject
LHipAngles_ax3_tpeak_vel_pct__median,-0.49159663865546216,0.028,999,subject
RHipAngles_ax1_rom__median,0.06722689075630252,0.763,999,subject
RHipAngles_ax1_tmin_pct__median,0.03361344537815126,0.892,999,subject
RHipAngles_ax1_tmax_pct__median,-0.03361344537815126,0.877,999,subject
RHipAngles_ax1_peak_vel__median,0.058823529411764705,0.832,999,subject
RHipAngles_ax1_vel_rms__median,0.10084033613445378,0.691,999,subject
RHipAngles_ax2_min__median,-0.03361344537815126,0.886,999,subject
RHipAngles_ax2_max__median,0.15966386554621848,0.473,999,subject
RHipAngles_ax2_mean__median,0.10084033613445378,0.653,999,subject
RHipAngles_ax2_rom__median,0.06722689075630252,0.752,999,subject
RHipAngles_ax2_peak_vel__median,0.13445378151260504,0.541,999,subject
RHipAngles_ax2_tpeak_vel_pct__median,0.10084033613445378,0.622,999,subject
RHipAngles_ax3_min__median,-0.17647058823529413,0.408,999,subject
RHipAngles_ax3_rom__median,-0.2184873949579832,0.333,999,subject
RHipAngles_ax3_tmin_pct__median,0.1638655462184874,0.441,999,subject
RHipAngles_ax3_tmax_pct__median,0.25630252100840334,0.218,999,subject
RHipAngles_ax3_peak_acc__median,0.025210084033613446,0.919,999,subject
