feature,n_valid,n_unique,passed,reasons
LHipAngles_ax1_min__median,31,31,True,
LHipAngles_ax1_max__median,31,31,True,
LHipAngles_ax1_mean__median,31,31,True,
LHipAngles_ax1_median__median,31,31,True,
LHipAngles_ax1_std__median,31,31,True,
LHipAngles_ax1_rom__median,31,31,True,
LHipAngles_ax1_tmin_pct__median,31,15,True,
LHipAngles_ax1_tmax_pct__median,31,17,True,
LHipAngles_ax1_peak_vel__median,31,31,True,
LHipAngles_ax1_tpeak_vel_pct__median,31,18,True,
LHipAngles_ax1_vel_rms__median,31,31,True,
LHipAngles_ax1_peak_acc__median,31,31,True,
LHipAngles_ax1_acc_rms__median,31,31,True,
LHipAngles_ax2_min__median,31,31,True,
LHipAngles_ax2_max__median,31,31,True,
LHipAngles_ax2_mean__median,31,31,True,
LHipAngles_ax2_median__median,31,31,True,
LHipAngles_ax2_std__median,31,31,True,
LHipAngles_ax2_rom__median,31,31,True,
LHipAngles_ax2_tmin_pct__median,31,18,True,
LHipAngles_ax2_tmax_pct__median,31,21,True,
LHipAngles_ax2_peak_vel__median,31,31,True,
LHipAngles_ax2_tpeak_vel_pct__median,31,20,True,
LHipAngles_ax2_vel_rms__median,31,31,True,
LHipAngles_ax2_peak_acc__median,31,31,True,
LHipAngles_ax2_acc_rms__median,31,31,True,
LHipAngles_ax3_min__median,31,31,True,
LHipAngles_ax3_max__median,31,31,True,
LHipAngles_ax3_mean__median,31,31,True,
LHipAngles_ax3_median__median,31,31,True,
LHipAngles_ax3_std__median,31,31,True,
LHipAngles_ax3_rom__median,31,31,True,
LHipAngles_ax3_tmin_pct__median,31,11,True,
LHipAngles_ax3_tmax_pct__median,31,25,True,
LHipAngles_ax3_peak_vel__median,31,31,True,
LHipAngles_ax3_tpeak_vel_pct__median,31,22,True,
LHipAngles_ax3_vel_rms__median,31,31,True,
LHipAngles_ax3_peak_acc__median,31,31,True,
LHipAngles_ax3_acc_rms__median,31,31,True,
RHipAngles_ax1_min__median,31,31,True,
RHipAngles_ax1_max__median,31,31,True,
RHipAngles_ax1_mean__median,31,31,True,
RHipAngles_ax1_median__median,31,31,True,
RHipAngles_ax1_std__median,31,31,True,
RHipAngles_ax1_rom__median,31,31,True,
RHipAngles_ax1_tmin_pct__median,31,16,True,
RHipAngles_ax1_tmax_pct__median,31,17,True,
RHipAngles_ax1_peak_vel__median,31,31,True,
RHipAngles_ax1_tpeak_vel_pct__median,31,19,True,
RHipAngles_ax1_vel_rms__median,31,31,True,
RHipAngles_ax1_peak_acc__median,31,31,True,
RHipAngles_ax1_acc_rms__median,31,31,True,
RHipAngles_ax2_min__median,31,31,True,
RHipAngles_ax2_max__median,31,31,True,
RHipAngles_ax2_mean__median,31,31,True,
RHipAngles_ax2_median__median,31,31,True,
RHipAngles_ax2_std__median,31,31,True,
RHipAngles_ax2_rom__median,31,31,True,
RHipAngles_ax2_tmin_pct__median,31,20,True,
RHipAngles_ax2_tmax_pct__median,31,19,True,
RHipAngles_ax2_peak_vel__median,31,31,True,
RHipAngles_ax2_tpeak_vel_pct__median,31,20,True,
RHipAngles_ax2_vel_rms__median,31,31,True,
RHipAngles_ax2_peak_acc__median,31,31,True,
RHipAngles_ax2_acc_rms__median,31,31,True,
RHipAngles_ax3_min__median,31,31,True,
RHipAngles_ax3_max__median,31,31,True,
RHipAngles_ax3_mean__median,31,31,True,
RHipAngles_ax3_median__median,31,31,True,
RHipAngles_ax3_std__median,31,31,True,
RHipAngles_ax3_rom__median,31,31,True,
RHipAngles_ax3_tmin_pct__median,31,11,True,
RHipAngles_ax3_tmax_pct__median,31,26,True,
RHipAngles_ax3_peak_vel__median,31,31,True,
RHipAngles_ax3_tpeak_vel_pct__median,31,16,True,
RHipAngles_ax3_vel_rms__median,31,31,True,
RHipAngles_ax3_peak_acc__median,31,31,True,
RHipAngles_ax3_acc_rms__median,31,31,True,
LKneeAngles_ax1_min__median,31,31,True,
LKneeAngles_ax1_max__median,31,31,True,
LKneeAngles_ax1_mean__median,31,31,True,
LKneeAngles_ax1_median__median,31,31,True,
LKneeAngles_ax1_std__median,31,31,True,
LKneeAngles_ax1_rom__median,31,31,True,
LKneeAngles_ax1_tmin_pct__median,31,12,True,
LKneeAngles_ax1_tmax_pct__median,31,14,True,
LKneeAngles_ax1_peak_vel__median,31,31,True,
LKneeAngles_ax1_tpeak_vel_pct__median,31,17,True,
LKneeAngles_ax1_vel_rms__median,31,31,True,
LKneeAngles_ax1_peak_acc__median,31,31,True,
LKneeAngles_ax1_acc_rms__median,31,31,True,
LKneeAngles_ax2_min__median,31,31,True,
LKneeAngles_ax2_max__median,31,31,True,
LKneeAngles_ax2_mean__median,31,31,True,
LKneeAngles_ax2_median__median,31,31,True,
LKneeAngles_ax2_std__median,31,31,True,
LKneeAngles_ax2_rom__median,31,31,True,
LKneeAngles_ax2_tmin_pct__median,31,22,True,
LKneeAngles_ax2_tmax_pct__median,31,27,True,
LKneeAngles_ax2_peak_vel__median,31,31,True,
LKneeAngles_ax2_tpeak_vel_pct__median,31,24,True,
LKneeAngles_ax2_vel_rms__median,31,31,True,
LKneeAngles_ax2_peak_acc__median,31,31,True,
LKneeAngles_ax2_acc_rms__median,31,31,True,
LKneeAngles_ax3_min__median,31,31,True,
LKneeAngles_ax3_max__median,31,31,True,
LKneeAngles_ax3_mean__median,31,31,True,
LKneeAngles_ax3_median__median,31,31,True,
LKneeAngles_ax3_std__median,31,31,True,
LKneeAngles_ax3_rom__median,31,31,True,
LKneeAngles_ax3_tmin_pct__median,31,15,True,
LKneeAngles_ax3_tmax_pct__median,31,27,True,
LKneeAngles_ax3_peak_vel__median,31,31,True,
LKneeAngles_ax3_tpeak_vel_pct__median,31,22,True,
LKneeAngles_ax3_vel_rms__median,31,31,True,
LKneeAngles_ax3_peak_acc__median,31,31,True,
LKneeAngles_ax3_acc_rms__median,31,31,True,
RKneeAngles_ax1_min__median,31,31,True,
RKneeAngles_ax1_max__median,31,31,True,
RKneeAngles_ax1_mean__median,31,31,True,
RKneeAngles_ax1_median__median,31,31,True,
RKneeAngles_ax1_std__median,31,31,True,
RKneeAngles_ax1_rom__median,31,31,True,
RKneeAngles_ax1_tmin_pct__median,31,11,True,
RKneeAngles_ax1_tmax_pct__median,31,14,True,
RKneeAngles_ax1_peak_vel__median,31,31,True,
RKneeAngles_ax1_tpeak_vel_pct__median,31,15,True,
RKneeAngles_ax1_vel_rms__median,31,31,True,
RKneeAngles_ax1_peak_acc__median,31,31,True,
RKneeAngles_ax1_acc_rms__median,31,31,True,
RKneeAngles_ax2_min__median,31,31,True,
RKneeAngles_ax2_max__median,31,31,True,
RKneeAngles_ax2_mean__median,31,31,True,
RKneeAngles_ax2_median__median,31,31,True,
RKneeAngles_ax2_std__median,31,31,True,
RKneeAngles_ax2_rom__median,31,31,True,
RKneeAngles_ax2_tmin_pct__median,31,25,True,
RKneeAngles_ax2_tmax_pct__median,31,24,True,
RKneeAngles_ax2_peak_vel__median,31,31,True,
RKneeAngles_ax2_tpeak_vel_pct__median,31,28,True,
RKneeAngles_ax2_vel_rms__median,31,31,True,
RKneeAngles_ax2_peak_acc__median,31,31,True,
RKneeAngles_ax2_acc_rms__median,31,31,True,
RKneeAngles_ax3_min__median,31,31,True,
RKneeAngles_ax3_max__median,31,31,True,
RKneeAngles_ax3_mean__median,31,31,True,
RKneeAngles_ax3_median__median,31,31,True,
RKneeAngles_ax3_std__median,31,31,True,
RKneeAngles_ax3_rom__median,31,31,True,
RKneeAngles_ax3_tmin_pct__median,31,21,True,
RKneeAngles_ax3_tmax_pct__median,31,23,True,
RKneeAngles_ax3_peak_vel__median,31,31,True,
RKneeAngles_ax3_tpeak_vel_pct__median,31,20,True,
RKneeAngles_ax3_vel_rms__median,31,31,True,
RKneeAngles_ax3_peak_acc__median,31,31,True,
RKneeAngles_ax3_acc_rms__median,31,31,True,
LAnkleAngles_ax1_min__median,31,31,True,
LAnkleAngles_ax1_max__median,31,31,True,
LAnkleAngles_ax1_mean__median,31,31,True,
LAnkleAngles_ax1_median__median,31,31,True,
LAnkleAngles_ax1_std__median,31,31,True,
LAnkleAngles_ax1_rom__median,31,31,True,
LAnkleAngles_ax1_tmin_pct__median,31,16,True,
LAnkleAngles_ax1_tmax_pct__median,31,11,True,
LAnkleAngles_ax1_peak_vel__median,31,31,True,
LAnkleAngles_ax1_tpeak_vel_pct__median,31,14,True,
LAnkleAngles_ax1_vel_rms__median,31,31,True,
LAnkleAngles_ax1_peak_acc__median,31,31,True,
LAnkleAngles_ax1_acc_rms__median,31,31,True,
LAnkleAngles_ax2_min__median,31,31,True,
LAnkleAngles_ax2_max__median,31,31,True,
LAnkleAngles_ax2_mean__median,31,31,True,
LAnkleAngles_ax2_median__median,31,31,True,
LAnkleAngles_ax2_std__median,31,31,True,
LAnkleAngles_ax2_rom__median,31,31,True,
LAnkleAngles_ax2_tmin_pct__median,31,18,True,
LAnkleAngles_ax2_tmax_pct__median,31,22,True,
LAnkleAngles_ax2_peak_vel__median,31,31,True,
