cluster_id,representative,n_members,members,max_abs_spearman
1,RHipAngles_ax1_median__median,20,RHipAngles_ax1_median__median|RHipAngles_ax1_mean__median|RHipAngles_ax1_min__median|RHipAngles_ax1_max__median|LHipAngles_ax1_mean__median|LHipAngles_ax1_max__median|LHipAngles_ax1_min__median|LHipAngles_ax1_median__median|RHipAngles_ax1_phase_70_80_mean__median|RHipAngles_ax1_phase_70_80_max__median|RHipAngles_ax1_phase_20_30_max__median|RHipAngles_ax1_phase_20_30_mean__median|RHipAngles_ax1_phase_70_80_min__median|RHipAngles_ax1_phase_20_30_min__median|LHipAngles_ax1_phase_70_80_mean__median|LHipAngles_ax1_phase_70_80_min__median|LHipAngles_ax1_phase_70_80_max__median|LHipAngles_ax1_phase_20_30_min__median|LHipAngles_ax1_phase_20_30_mean__median|LHipAngles_ax1_phase_20_30_max__median,0.9959677419354839
2,LHipAngles_ax1_rom__median,2,LHipAngles_ax1_rom__median|LHipAngles_ax1_std__median,0.9391129032258064
3,LHipAngles_ax1_tmin_pct__median,1,LHipAngles_ax1_tmin_pct__median,0.0
4,LHipAngles_ax1_tmax_pct__median,1,LHipAngles_ax1_tmax_pct__median,0.0
5,LHipAngles_ax1_peak_vel__median,1,LHipAngles_ax1_peak_vel__median,0.0
6,RKneeAngles_ax1_phase_90_100_rom__median,117,RKneeAngles_ax1_phase_90_100_rom__median|LKneeAngles_ax1_phase_40_50_rom__median|LKneeAngles_ax1_phase_10_20_rom__median|RKneeAngles_ax1_phase_60_70_rom__median|RKneeAngles_ax1_phase_10_20_rom__median|LKneeAngles_ax1_phase_90_100_rom__median|RKneeAngles_ax1_phase_40_50_rom__median|RKneeAngles_ax1_phase_80_90_rom__median|LAnkleAngles_ax1_phase_20_30_rom__median|LHipAngles_ax1_phase_60_70_rom__median|LHipAngles_ax1_phase_20_30_rom__median|RHipAngles_ax1_phase_10_20_rom__median|RKneeAngles_ax1_tmax_pct__median|RAbsAnkleAngle_ax1_tmin_pct__median|RFootProgressAngles_ax1_tmax_pct__median|LKneeAngles_ax1_tmax_pct__median|RAnkleAngles_ax1_tpeak_vel_pct__median|LFootProgressAngles_ax1_tpeak_vel_pct__median|RAnkleAngles_ax1_tmin_pct__median|LHipAngles_ax2_tmax_pct__median|LAbsAnkleAngle_ax1_tmin_pct__median|LAnkleAngles_ax1_tpeak_vel_pct__median|LAbsAnkleAngle_ax1_tpeak_vel_pct__median|RAbsAnkleAngle_ax1_tpeak_vel_pct__median|LFootProgressAngles_ax1_tmax_pct__median|RHipAngles_ax2_tmin_pct__median|RHipAngles_ax2_tmax_pct__median|LHipAngles_ax1_tpeak_vel_pct__median|LAnkleAngles_ax1_tmin_pct__median|LKneeAngles_ax1_tpeak_vel_pct__median|RHipAngles_ax1_tpeak_vel_pct__median|RFootProgressAngles_ax1_tpeak_vel_pct__median|RKneeAngles_ax1_phase_30_40_max__median|RKneeAngles_ax1_phase_20_30_mean__median|RKneeAngles_ax1_phase_20_30_max__median|RKneeAngles_ax1_phase_80_90_max__median|LKneeAngles_ax1_phase_80_90_max__median|LKneeAngles_ax1_phase_70_80_mean__median|LKneeAngles_ax1_phase_30_40_max__median|RKneeAngles_ax1_phase_20_30_min__median|LKneeAngles_ax1_phase_70_80_max__median|RKneeAngles_ax1_phase_70_80_max__median|RKneeAngles_ax1_phase_70_80_mean__median|LKneeAngles_ax1_phase_20_30_max__median|LKneeAngles_ax1_phase_20_30_mean__median|LKneeAngles_ax1_phase_70_80_min__median|LHipAngles_ax1_phase_90_100_min__median|LKneeAngles_ax1_phase_20_30_min__median|RHipAngles_ax1_phase_0_10_mean__median|RHipAngles_ax1_phase_0_10_max__median|LHipAngles_ax1_phase_0_10_mean__median|LHipAngles_ax1_phase_0_10_min__median|RHipAngles_ax1_phase_0_10_min__median|RKneeAngles_ax1_phase_30_40_mean__median|LKneeAngles_ax1_phase_30_40_mean__median|LHipAngles_ax1_phase_0_10_max__median|LHipAngles_ax1_phase_90_100_mean__median|LHipAngles_ax1_phase_50_60_min__median|RKneeAngles_ax1_phase_70_80_min__median|LHipAngles_ax1_phase_50_60_mean__median|RHipAngles_ax1_phase_50_60_mean__median|RKneeAngles_ax1_phase_80_90_mean__median|LHipAngles_ax1_phase_50_60_max__median|RHipAngles_ax1_phase_50_60_min__median|RHipAngles_ax1_phase_50_60_max__median|RHipAngles_ax1_phase_90_100_min__median|LHipAngles_ax1_phase_40_50_min__median|LKneeAngles_ax1_phase_80_90_mean__median|RHipAngles_ax1_phase_40_50_min__median|RKneeAngles_ax1_phase_10_20_max__median|RHipAngles_ax1_phase_90_100_mean__median|LHipAngles_ax1_phase_90_100_max__median|RHipAngles_ax1_phase_40_50_mean__median|LHipAngles_ax1_phase_40_50_mean__median|RHipAngles_ax1_phase_90_100_max__median|LHipAngles_ax1_phase_10_20_min__median|LKneeAngles_ax1_phase_60_70_max__median|RHipAngles_ax1_phase_10_20_min__median|RHipAngles_ax1_phase_40_50_max__median|LHipAngles_ax1_phase_10_20_mean__median|LHipAngles_ax1_phase_60_70_min__median|LKneeAngles_ax1_phase_10_20_max__median|LHipAngles_ax1_phase_40_50_max__median|RKneeAngles_ax1_phase_60_70_max__median|LHipAngles_ax1_phase_60_70_mean__median|RHipAngles_ax1_phase_60_70_min__median|RHipAngles_ax1_phase_10_20_mean__median|RHipAngles_ax1_phase_80_90_min__median|RHipAngles_ax1_phase_60_70_mean__median|RHipAngles_ax1_phase_80_90_mean__median|RHipAngles_ax1_phase_30_40_min__median|LHipAngles_ax1_phase_80_90_min__median|LHipAngles_ax1_phase_10_20_max__median|LKneeAngles_ax1_phase_30_40_min__median|RKneeAngles_ax1_phase_80_90_min__median|RHipAngles_ax1_phase_30_40_mean__median|RHipAngles_ax1_phase_10_20_max__median|RHipAngles_ax1_phase_80_90_max__median|RHipAngles_ax1_phase_60_70_max__median|LHipAngles_ax1_phase_60_70_max__median|LHipAngles_ax1_phase_30_40_min__median|LHipAngles_ax1_phase_80_90_mean__median|RKneeAngles_ax1_phase_30_40_min__median|LHipAngles_ax1_phase_30_40_mean__median|RHipAngles_ax1_phase_30_40_max__median|LHipAngles_ax1_phase_30_40_max__median|RKneeAngles_ax1_phase_10_20_mean__median|LKneeAngles_ax1_phase_80_90_min__median|LHipAngles_ax1_phase_80_90_max__median|LKneeAngles_ax1_phase_40_50_max__median|RKneeAngles_ax1_phase_90_100_max__median|LKneeAngles_ax1_phase_60_70_mean__median|LKneeAngles_ax1_phase_90_100_max__median|LAnkleAngles_ax1_phase_20_30_min__median|RKneeAngles_ax1_phase_60_70_mean__median|RKneeAngles_ax1_phase_40_50_max__median|LAnkleAngles_ax1_phase_20_30_mean__median,0.9991935483870967
7,LHipAngles_ax1_vel_rms__median,1,LHipAngles_ax1_vel_rms__median,0.0
8,RHipAngles_ax1_peak_acc__median,2,RHipAngles_ax1_peak_acc__median|LHipAngles_ax1_peak_acc__median,0.9455645161290323
9,RKneeAngles_ax1_peak_acc__median,6,RKneeAngles_ax1_peak_acc__median|RKneeAngles_ax1_acc_rms__median|RHipAngles_ax1_acc_rms__median|LHipAngles_ax1_acc_rms__median|RKneeAngles_ax1_peak_vel__median|RKneeAngles_ax1_vel_rms__median,0.9657258064516129
10,LHipAngles_ax2_min__median,1,LHipAngles_ax2_min__median,0.0
11,LHipAngles_ax2_max__median,3,LHipAngles_ax2_max__median|LHipAngles_ax2_median__median|LHipAngles_ax2_mean__median,0.9875
12,LHipAngles_ax2_std__median,1,LHipAngles_ax2_std__median,0.0
13,LHipAngles_ax2_rom__median,1,LHipAngles_ax2_rom__median,0.0
14,LHipAngles_ax2_tmin_pct__median,1,LHipAngles_ax2_tmin_pct__median,0.0
15,LHipAngles_ax2_peak_vel__median,1,LHipAngles_ax2_peak_vel__median,0.0
16,LHipAngles_ax2_tpeak_vel_pct__median,1,LHipAngles_ax2_tpeak_vel_pct__median,0.0
17,LHipAngles_ax2_vel_rms__median,2,LHipAngles_ax2_vel_rms__median|RHipAngles_ax2_vel_rms__median,0.9560483870967742
18,LHipAngles_ax2_peak_acc__median,4,LHipAngles_ax2_peak_acc__median|RHipAngles_ax2_peak_acc__median|LHipAngles_ax2_acc_rms__median|RHipAngles_ax2_acc_rms__median,0.9290322580645162
19,LHipAngles_ax3_mean__median,8,LHipAngles_ax3_mean__median|LHipAngles_ax3_median__median|LHipAngles_ax3_max__median|LHipAngles_ax3_min__median|LKneeAngles_ax2_min__median|LKneeAngles_ax2_max__median|LKneeAngles_ax2_mean__median|LKneeAngles_ax2_median__median,0.9959677419354839
20,LHipAngles_ax3_rom__median,2,LHipAngles_ax3_rom__median|LHipAngles_ax3_std__median,0.9532258064516129
21,LHipAngles_ax3_tmin_pct__median,1,LHipAngles_ax3_tmin_pct__median,0.0
