feature,cliffs_delta,cliffs_delta_ci_lo,cliffs_delta_ci_hi,cliffs_magnitude,direction,abs_median_diff,rel_median_diff,standardized_median_iqr
LHipAngles_ax3_tpeak_vel_pct__median,-0.49159663865546216,-0.8235294117647058,-0.10073529411764716,large,VICTIMS_LOWER,11.75,-0.19665271966527198,-0.9215686274509803
LKneeAngles_ax3_tmax_pct__median,-0.542016806722689,-0.8236344537815126,-0.16376050420168076,large,VICTIMS_LOWER,19.0,-0.35185185185185186,-0.7755102040816326
RKneeAngles_ax3_peak_acc__median,0.48739495798319327,0.1092436974789916,0.8235294117647058,large,VICTIMS_HIGHER,2183.7740695382345,0.35484231450906634,0.846221554092774
LFootProgressAngles_ax2_mean__median,-0.4369747899159664,-0.7899159663865546,-0.025210084033613446,medium,VICTIMS_LOWER,1.4935883307451436,-0.3490919647380597,-0.6432885386057211
LFootProgressAngles_ax1_std__median,-0.4117647058823529,-0.748109243697479,0.025210084033613446,medium,VICTIMS_LOWER,1.1140559550829536,-0.037687957075566096,-0.6548328583276259
RAnkleAngles_ax3_peak_acc__median,0.3949579831932773,-0.05042016806722689,0.7310924369747899,medium,VICTIMS_HIGHER,1639.047409847517,0.22429192060813932,0.49756261008517716
LHipAngles_ax2_tpeak_vel_pct__median,-0.42436974789915966,-0.7647058823529411,-0.03771008403361354,medium,VICTIMS_LOWER,33.0,-0.5789473684210527,-1.3678756476683938
LAnkleAngles_ax1_phase_40_50_rom__median,-0.46218487394957986,-0.8151260504201681,-0.06722689075630252,medium,VICTIMS_LOWER,1.4021145701408386,-0.4318434034803816,-0.918741908773201
RFootProgressAngles_ax3_peak_acc__median,0.4117647058823529,-0.017016806722689064,0.7478991596638656,medium,VICTIMS_HIGHER,986.3096382152162,0.37201711204017573,1.0466116702558106
LKneeAngles_ax3_peak_acc__median,0.35294117647058826,-0.03382352941176469,0.7478991596638656,medium,VICTIMS_HIGHER,2225.1188970716357,0.3539977675800408,0.47272843812954785
RKneeAngles_ax1_phase_0_10_rom__median,-0.3865546218487395,-0.790126050420168,0.025210084033613446,medium,VICTIMS_LOWER,2.2670748233795166,-0.17077373615586255,-0.7219622089214557
LAnkleAngles_ax2_tmin_pct__median,0.3319327731092437,-0.14285714285714285,0.7310924369747899,medium,VICTIMS_HIGHER,10.75,0.25748502994011974,0.441025641025641
sym_HipAngles_ax1_tmax_pct_absdiff,-0.4117647058823529,-0.7563025210084033,-0.029306722689075724,medium,VICTIMS_LOWER,5.5,-0.7333333333333333,-0.15547703180212014
RHipAngles_ax1_phase_60_70_rom__median,0.3865546218487395,0.008403361344537815,0.7647058823529411,medium,VICTIMS_HIGHER,1.589008092880249,0.16042796980495658,0.8459184028337475
LHipAngles_ax3_tmax_pct__median,-0.3949579831932773,-0.7478991596638656,0.02100840336134454,medium,VICTIMS_LOWER,15.25,-0.26180257510729615,-0.5674418604651162
RKneeAngles_ax2_tmax_pct__median,0.3487394957983193,-0.07174369747899158,0.7058823529411765,medium,VICTIMS_HIGHER,3.25,0.06532663316582915,0.14168937329700274
RHipAngles_ax1_peak_acc__median,0.33613445378151263,-0.07563025210084033,0.7144957983193275,medium,VICTIMS_HIGHER,328.81631580910243,0.16213973466382622,0.5641547621946299
RKneeAngles_ax1_phase_20_30_rom__median,-0.3949579831932773,-0.7647058823529411,0.04201680672268908,medium,VICTIMS_LOWER,1.4363927841186523,-0.2083890682305828,-0.9299919082386233
RHipAngles_ax1_median__median,0.3277310924369748,-0.08424369747899159,0.6974789915966386,small,VICTIMS_HIGHER,2.6826906204223633,0.10638981058978768,0.24717692795079949
LKneeAngles_ax2_tmax_pct__median,-0.35294117647058826,-0.7058823529411765,0.05903361344537796,medium,VICTIMS_LOWER,21.5,-0.3282442748091603,-0.8249400479616307
LFootProgressAngles_ax1_rom__median,-0.35294117647058826,-0.6974789915966386,0.06722689075630252,medium,VICTIMS_LOWER,4.48082971572876,-0.042304867862209064,-0.5650000604263284
LFootProgressAngles_ax2_rom__median,-0.35294117647058826,-0.7313025210084033,0.07563025210084033,medium,VICTIMS_LOWER,5.330025732517242,-0.3081692000432084,-0.6504661913263895
RKneeAngles_ax3_tmax_pct__median,0.31512605042016806,-0.07605042016806719,0.7059873949579831,small,VICTIMS_HIGHER,21.75,0.5686274509803921,0.7435897435897436
