feature,n_subjects,n_victims,n_controls,victim_median,control_median,victim_mean,control_mean,abs_median_diff,rel_median_diff,cliffs_delta,standardized_median_iqr,cliffs_delta_ci_lo,cliffs_delta_ci_hi,cliffs_magnitude,direction,victim_consistency,control_consistency,mannwhitney_u,raw_p,test,fdr_q,adjusted_p,full_cliffs_delta,loso_delta_median,loso_delta_min,loso_delta_max,loso_direction_agreement,loso_max_abs_shift,observed_cliffs_delta,perm_p,n_perm,unit,anatomical_region,family,side,source_signal,rank_score,signature_status,rank
LHipAngles_ax3_tpeak_vel_pct__median,31,17,14,48.0,59.75,48.38235294117647,62.92857142857143,11.75,-0.19665271966527198,-0.49159663865546216,-0.9215686274509803,-0.8235294117647058,-0.10073529411764716,large,VICTIMS_LOWER,0.8823529411764706,0.7857142857142857,60.5,0.021085331235427343,mannwhitneyu_two_sided,0.9960585779461091,0.9960585779461091,-0.49159663865546216,-0.48660714285714285,-0.5972850678733032,-0.45248868778280543,1.0,0.105688429217841,-0.49159663865546216,0.028,999,subject,hip,kinematic,left,LHipAngles,0.06506426099851705,exploratory,1
LKneeAngles_ax3_tmax_pct__median,31,17,14,35.0,54.0,37.23529411764706,56.464285714285715,19.0,-0.35185185185185186,-0.542016806722689,-0.7755102040816326,-0.8236344537815126,-0.16376050420168076,large,VICTIMS_LOWER,0.7647058823529411,0.8571428571428571,54.5,0.011039235074033062,mannwhitneyu_two_sided,0.9960585779461091,0.9960585779461091,-0.542016806722689,-0.53125,-0.6244343891402715,-0.5067873303167421,1.0,0.08241758241758246,-0.542016806722689,0.008,999,subject,knee,kinematic,left,LKneeAngles,0.062172516065249615,exploratory,2
RKneeAngles_ax3_peak_acc__median,31,17,14,8337.98392627289,6154.209856734655,9235.771002182546,6962.485988518019,2183.7740695382345,0.35484231450906634,0.48739495798319327,0.846221554092774,0.1092436974789916,0.8235294117647058,large,VICTIMS_HIGHER,0.8235294117647058,0.8571428571428571,177.0,0.022464730556831344,mannwhitneyu_two_sided,0.9960585779461091,0.9960585779461091,0.48739495798319327,0.4732142857142857,0.45535714285714285,0.583710407239819,1.0,0.09631544925662577,0.48739495798319327,0.024,999,subject,knee,kinematic,right,RKneeAngles,0.06020761245674739,exploratory,3
LFootProgressAngles_ax2_mean__median,31,17,14,2.784906970244823,4.278495300989967,2.64042462845212,4.485236417722811,1.4935883307451436,-0.3490919647380597,-0.4369747899159664,-0.6432885386057211,-0.7899159663865546,-0.025210084033613446,medium,VICTIMS_LOWER,0.8823529411764706,0.7142857142857143,67.0,0.040928680307670905,mannwhitneyu_two_sided,0.9960585779461091,0.9960585779461091,-0.4369747899159664,-0.4375,-0.5384615384615384,-0.3936651583710407,1.0,0.10148674854557205,-0.4369747899159664,0.047,999,subject,foot,kinematic,left,LFootProgressAngles,0.057834898665348494,exploratory,4
LFootProgressAngles_ax1_std__median,31,17,14,28.445942557153195,29.55999851223615,28.472807113787468,29.202181218958483,1.1140559550829536,-0.037687957075566096,-0.4117647058823529,-0.6548328583276259,-0.748109243697479,0.025210084033613446,medium,VICTIMS_LOWER,0.8823529411764706,0.6428571428571429,70.0,0.05420820007627732,mannwhitneyu_two_sided,0.9960585779461091,0.9960585779461091,-0.4117647058823529,-0.41964285714285715,-0.5,-0.375,1.0,0.08823529411764708,-0.4117647058823529,0.058,999,subject,foot,kinematic,left,LFootProgressAngles,0.05449826989619377,exploratory,5
RAnkleAngles_ax3_peak_acc__median,31,17,14,8946.699889720381,7307.652479872864,9685.842917584981,7875.840075555637,1639.047409847517,0.22429192060813932,0.3949579831932773,0.49756261008517716,-0.05042016806722689,0.7310924369747899,medium,VICTIMS_HIGHER,0.8823529411764706,0.7142857142857143,166.0,0.06492404931469167,mannwhitneyu_two_sided,0.9960585779461091,0.9960585779461091,0.3949579831932773,0.39285714285714285,0.35714285714285715,0.48214285714285715,1.0,0.08718487394957986,0.3949579831932773,0.062,999,subject,ankle,kinematic,right,RAnkleAngles,0.05227385071675729,exploratory,6
LHipAngles_ax2_tpeak_vel_pct__median,31,17,14,24.0,57.0,28.794117647058822,47.142857142857146,33.0,-0.5789473684210527,-0.42436974789915966,-1.3678756476683938,-0.7647058823529411,-0.03771008403361354,medium,VICTIMS_LOWER,0.7647058823529411,0.7857142857142857,68.5,0.04648727390948352,mannwhitneyu_two_sided,0.9960585779461091,0.9960585779461091,-0.42436974789915966,-0.41517857142857145,-0.5044642857142857,-0.38009049773755654,1.0,0.08009453781512604,-0.42436974789915966,0.054,999,subject,hip,kinematic,left,LHipAngles,0.04867770637666831,exploratory,7
LAnkleAngles_ax1_phase_40_50_rom__median,31,17,14,1.8446979522705078,3.2468125224113464,2.844702916986802,3.378047525882721,1.4021145701408386,-0.4318434034803816,-0.46218487394957986,-0.918741908773201,-0.8151260504201681,-0.06722689075630252,medium,VICTIMS_LOWER,0.7647058823529411,0.9285714285714286,64.0,0.030515468558537658,mannwhitneyu_two_sided,0.9960585779461091,0.9960585779461091,-0.46218487394957986,-0.4479638009049774,-0.5565610859728507,-0.42857142857142855,1.0,0.09437621202327084,-0.46218487394957986,0.037,999,subject,ankle,phase,left,LAnkleAngles,0.047713791398912506,exploratory,8
RFootProgressAngles_ax3_peak_acc__median,31,17,14,3637.557675721352,2651.248037506136,3606.3615400181016,2745.666731577165,986.3096382152162,0.37201711204017573,0.4117647058823529,1.0466116702558106,-0.017016806722689064,0.7478991596638656,medium,VICTIMS_HIGHER,0.7647058823529411,0.9285714285714286,168.0,0.05420820007627732,mannwhitneyu_two_sided,0.9960585779461091,0.9960585779461091,0.4117647058823529,0.40271493212669685,0.375,0.5,1.0,0.08823529411764708,0.4117647058823529,0.07,999,subject,foot,kinematic,right,RFootProgressAngles,0.0472318339100346,exploratory,9
LKneeAngles_ax3_peak_acc__median,31,17,14,8510.805138210217,6285.686241138581,9469.284854909263,7945.394674082928,2225.1188970716357,0.3539977675800408,0.35294117647058826,0.47272843812954785,-0.03382352941176469,0.7478991596638656,medium,VICTIMS_HIGHER,0.8823529411764706,0.6428571428571429,161.0,0.09949440800504383,mannwhitneyu_two_sided,0.9960585779461091,0.9960585779461091,0.35294117647058826,0.3392857142857143,0.31221719457013575,0.45701357466063347,1.0,0.10407239819004521,0.35294117647058826,0.101,999,subject,knee,kinematic,left,LKneeAngles,0.04671280276816609,exploratory,10
