pc,explained_variance_ratio,cumulative_variance_ratio,kept_for_description
1,0.37197388037576,0.37197388037576,True
2,0.18520194199564285,0.5571758223714028,True
3,0.13467147654923642,0.6918472989206392,True
4,0.08611618596272816,0.7779634848833674,True
5,0.07003699476523924,0.8480004796486067,True
6,0.06176857606467423,0.9097690557132809,False
7,0.04216240099140718,0.9519314567046882,False
8,0.01420017286799405,0.9661316295726822,False
9,0.007914409042870682,0.9740460386155528,False
10,0.005525027362332941,0.9795710659778858,False
11,0.005263241471452192,0.984834307449338,False
12,0.004125498526562992,0.9889598059759009,False
13,0.0032042047626091755,0.9921640107385101,False
14,0.0017353103982244071,0.9938993211367345,False
15,0.0014610252859810313,0.9953603464227155,False
16,0.0011221084981665314,0.996482454920882,False
17,0.0009311006571233099,0.9974135555780054,False
18,0.0007496375648138402,0.9981631931428192,False
19,0.0005762803516846683,0.9987394734945039,False
20,0.00043559229145580025,0.9991750657859597,False
21,0.0003372967661785131,0.9995123625521383,False
22,0.00017087957888969226,0.999683242131028,False
23,0.00012713234730145912,0.9998103744783294,False
24,9.189017807311005e-05,0.9999022646564025,False
25,6.934531095276323e-05,0.9999716099673553,False
26,2.2109995965643784e-05,0.999993719963321,False
27,6.280036679019518e-06,1.0,False
