subject_id,nearest_subject,nearest_distance,nearest_is_victim
S13,S42,3.5203757370602267,False
S14,S8,15.30974804920443,True
S15,S42,5.3894363651817985,False
S19,S40,29.008122873699786,False
S26,S39,4.15470228240962,False
S27,S9,4.461093274744016,False
S3,S41,11.199262814023987,False
S31,S48,3.131131426398911,False
S32,S27,27.415578977210327,True
S34,S37,5.244857794071957,True
S37,S7,2.901924888286898,True
S38,S37,3.3594099619646602,True
S4,S46,11.574491115725742,True
S46,S4,11.574491115725742,True
S5,S35,6.208059069277756,False
S7,S37,2.901924888286898,True
S8,S13,14.5725688051654,True
