subject_id,subgroup,assignment_stability,cluster_method,cluster_solution
S13,none_stable,,hierarchical_ward,no_stable_structure
S14,none_stable,,hierarchical_ward,no_stable_structure
S15,none_stable,,hierarchical_ward,no_stable_structure
S19,none_stable,,hierarchical_ward,no_stable_structure
S26,none_stable,,hierarchical_ward,no_stable_structure
S27,none_stable,,hierarchical_ward,no_stable_structure
S3,none_stable,,hierarchical_ward,no_stable_structure
S31,none_stable,,hierarchical_ward,no_stable_structure
S32,none_stable,,hierarchical_ward,no_stable_structure
S34,none_stable,,hierarchical_ward,no_stable_structure
S37,none_stable,,hierarchical_ward,no_stable_structure
S38,none_stable,,hierarchical_ward,no_stable_structure
S4,none_stable,,hierarchical_ward,no_stable_structure
S46,none_stable,,hierarchical_ward,no_stable_structure
S5,none_stable,,hierarchical_ward,no_stable_structure
S7,none_stable,,hierarchical_ward,no_stable_structure
S8,none_stable,,hierarchical_ward,no_stable_structure
