channel,signal,axis,family,level,anatomical_region,side,related_marker,eligible
LASI_ax1,LASI,ax1,marker,secondary,pelvis,left,LASI,True
LASI_ax2,LASI,ax2,marker,secondary,pelvis,left,LASI,True
LASI_ax3,LASI,ax3,marker,secondary,pelvis,left,LASI,True
RASI_ax1,RASI,ax1,marker,secondary,pelvis,right,RASI,True
RASI_ax2,RASI,ax2,marker,secondary,pelvis,right,RASI,True
RASI_ax3,RASI,ax3,marker,secondary,pelvis,right,RASI,True
LPSI_ax1,LPSI,ax1,marker,secondary,pelvis,left,LPSI,True
LPSI_ax2,LPSI,ax2,marker,secondary,pelvis,left,LPSI,True
LPSI_ax3,LPSI,ax3,marker,secondary,pelvis,left,LPSI,True
RPSI_ax1,RPSI,ax1,marker,secondary,pelvis,right,RPSI,True
RPSI_ax2,RPSI,ax2,marker,secondary,pelvis,right,RPSI,True
RPSI_ax3,RPSI,ax3,marker,secondary,pelvis,right,RPSI,True
LHJC_ax1,LHJC,ax1,joint_center,secondary,hip,left,LHJC,True
LHJC_ax2,LHJC,ax2,joint_center,secondary,hip,left,LHJC,True
LHJC_ax3,LHJC,ax3,joint_center,secondary,hip,left,LHJC,True
RHJC_ax1,RHJC,ax1,joint_center,secondary,hip,right,RHJC,True
RHJC_ax2,RHJC,ax2,joint_center,secondary,hip,right,RHJC,True
RHJC_ax3,RHJC,ax3,joint_center,secondary,hip,right,RHJC,True
LHipAngles_ax1,LHipAngles,ax1,joint_angle,primary,hip,left,LHJC,True
LHipAngles_ax2,LHipAngles,ax2,joint_angle,secondary,hip,left,LHJC,True
LHipAngles_ax3,LHipAngles,ax3,joint_angle,secondary,hip,left,LHJC,True
RHipAngles_ax1,RHipAngles,ax1,joint_angle,primary,hip,right,RHJC,True
RHipAngles_ax2,RHipAngles,ax2,joint_angle,secondary,hip,right,RHJC,True
RHipAngles_ax3,RHipAngles,ax3,joint_angle,secondary,hip,right,RHJC,True
LKJC_ax1,LKJC,ax1,joint_center,secondary,knee,left,LKJC,True
LKJC_ax2,LKJC,ax2,joint_center,secondary,knee,left,LKJC,True
LKJC_ax3,LKJC,ax3,joint_center,secondary,knee,left,LKJC,True
RKJC_ax1,RKJC,ax1,joint_center,secondary,knee,right,RKJC,True
RKJC_ax2,RKJC,ax2,joint_center,secondary,knee,right,RKJC,True
RKJC_ax3,RKJC,ax3,joint_center,secondary,knee,right,RKJC,True
LKneeAngles_ax1,LKneeAngles,ax1,joint_angle,primary,knee,left,LKJC,True
LKneeAngles_ax2,LKneeAngles,ax2,joint_angle,secondary,knee,left,LKJC,True
LKneeAngles_ax3,LKneeAngles,ax3,joint_angle,secondary,knee,left,LKJC,True
RKneeAngles_ax1,RKneeAngles,ax1,joint_angle,primary,knee,right,RKJC,True
RKneeAngles_ax2,RKneeAngles,ax2,joint_angle,secondary,knee,right,RKJC,True
RKneeAngles_ax3,RKneeAngles,ax3,joint_angle,secondary,knee,right,RKJC,True
LAJC_ax1,LAJC,ax1,joint_center,secondary,ankle,left,LAJC,True
LAJC_ax2,LAJC,ax2,joint_center,secondary,ankle,left,LAJC,True
LAJC_ax3,LAJC,ax3,joint_center,secondary,ankle,left,LAJC,True
RAJC_ax1,RAJC,ax1,joint_center,secondary,ankle,right,RAJC,True
RAJC_ax2,RAJC,ax2,joint_center,secondary,ankle,right,RAJC,True
RAJC_ax3,RAJC,ax3,joint_center,secondary,ankle,right,RAJC,True
LAnkleAngles_ax1,LAnkleAngles,ax1,joint_angle,primary,ankle,left,LAJC,True
LAnkleAngles_ax2,LAnkleAngles,ax2,joint_angle,secondary,ankle,left,LAJC,True
LAnkleAngles_ax3,LAnkleAngles,ax3,joint_angle,secondary,ankle,left,LAJC,True
RAnkleAngles_ax1,RAnkleAngles,ax1,joint_angle,primary,ankle,right,RAJC,True
RAnkleAngles_ax2,RAnkleAngles,ax2,joint_angle,secondary,ankle,right,RAJC,True
RAnkleAngles_ax3,RAnkleAngles,ax3,joint_angle,secondary,ankle,right,RAJC,True
LAbsAnkleAngle_ax1,LAbsAnkleAngle,ax1,joint_angle,secondary,ankle,left,LAJC,True
LAbsAnkleAngle_ax2,LAbsAnkleAngle,ax2,joint_angle,secondary,ankle,left,LAJC,True
LAbsAnkleAngle_ax3,LAbsAnkleAngle,ax3,joint_angle,secondary,ankle,left,LAJC,True
RAbsAnkleAngle_ax1,RAbsAnkleAngle,ax1,joint_angle,secondary,ankle,right,RAJC,True
RAbsAnkleAngle_ax2,RAbsAnkleAngle,ax2,joint_angle,secondary,ankle,right,RAJC,True
RAbsAnkleAngle_ax3,RAbsAnkleAngle,ax3,joint_angle,secondary,ankle,right,RAJC,True
LHEE_ax1,LHEE,ax1,marker,secondary,foot,left,LHEE,True
LHEE_ax2,LHEE,ax2,marker,secondary,foot,left,LHEE,True
LHEE_ax3,LHEE,ax3,marker,secondary,foot,left,LHEE,True
RHEE_ax1,RHEE,ax1,marker,secondary,foot,right,RHEE,True
RHEE_ax2,RHEE,ax2,marker,secondary,foot,right,RHEE,True
RHEE_ax3,RHEE,ax3,marker,secondary,foot,right,RHEE,True
LTOE_ax1,LTOE,ax1,marker,secondary,foot,left,LTOE,True
LTOE_ax2,LTOE,ax2,marker,secondary,foot,left,LTOE,True
LTOE_ax3,LTOE,ax3,marker,secondary,foot,left,LTOE,True
RTOE_ax1,RTOE,ax1,marker,secondary,foot,right,RTOE,True
RTOE_ax2,RTOE,ax2,marker,secondary,foot,right,RTOE,True
RTOE_ax3,RTOE,ax3,marker,secondary,foot,right,RTOE,True
LFootProgressAngles_ax1,LFootProgressAngles,ax1,foot_progression,primary,foot,left,LTOE,True
LFootProgressAngles_ax2,LFootProgressAngles,ax2,foot_progression,secondary,foot,left,LTOE,True
LFootProgressAngles_ax3,LFootProgressAngles,ax3,foot_progression,secondary,foot,left,LTOE,True
RFootProgressAngles_ax1,RFootProgressAngles,ax1,foot_progression,primary,foot,right,RTOE,True
RFootProgressAngles_ax2,RFootProgressAngles,ax2,foot_progression,secondary,foot,right,RTOE,True
RFootProgressAngles_ax3,RFootProgressAngles,ax3,foot_progression,secondary,foot,right,RTOE,True
