channel,time_percent,control_median,n_control,level
LASI_ax1,0,711.8948364257812,14,secondary
LASI_ax1,1,712.0436096191406,14,secondary
LASI_ax1,2,727.0411682128906,14,secondary
LASI_ax1,3,743.0980529785156,14,secondary
LASI_ax1,4,743.619140625,14,secondary
LASI_ax1,5,744.1613159179688,14,secondary
LASI_ax1,6,744.716064453125,14,secondary
LASI_ax1,7,756.2309265136719,14,secondary
LASI_ax1,8,764.4744720458984,14,secondary
LASI_ax1,9,772.7088928222656,14,secondary
LASI_ax1,10,778.7092895507812,14,secondary
LASI_ax1,11,781.9383239746094,14,secondary
LASI_ax1,12,790.0426635742188,14,secondary
LASI_ax1,13,797.9630432128906,14,secondary
LASI_ax1,14,805.1508026123047,14,secondary
LASI_ax1,15,801.0777130126953,14,secondary
LASI_ax1,16,815.5237274169922,14,secondary
LASI_ax1,17,829.3082122802734,14,secondary
LASI_ax1,18,835.6068267822266,14,secondary
LASI_ax1,19,841.7995452880859,14,secondary
LASI_ax1,20,839.8204193115234,14,secondary
LASI_ax1,21,844.2624206542969,14,secondary
LASI_ax1,22,850.0195922851562,14,secondary
LASI_ax1,23,855.7640686035156,14,secondary
LASI_ax1,24,861.5230560302734,14,secondary
LASI_ax1,25,871.3640594482422,14,secondary
LASI_ax1,26,883.4604034423828,14,secondary
LASI_ax1,27,895.6067047119141,14,secondary
LASI_ax1,28,905.7747192382812,14,secondary
LASI_ax1,29,906.6611022949219,14,secondary
LASI_ax1,30,907.6175537109375,14,secondary
LASI_ax1,31,901.0903625488281,14,secondary
LASI_ax1,32,894.6581726074219,14,secondary
LASI_ax1,33,894.9051971435547,14,secondary
LASI_ax1,34,901.5057220458984,14,secondary
LASI_ax1,35,908.1415557861328,14,secondary
LASI_ax1,36,921.7486267089844,14,secondary
LASI_ax1,37,935.2882690429688,14,secondary
LASI_ax1,38,936.01953125,14,secondary
LASI_ax1,39,945.0339050292969,14,secondary
LASI_ax1,40,959.7965087890625,14,secondary
LASI_ax1,41,974.8157348632812,14,secondary
LASI_ax1,42,990.1017150878906,14,secondary
LASI_ax1,43,1005.636474609375,14,secondary
LASI_ax1,44,1021.3883972167969,14,secondary
LASI_ax1,45,1036.7446594238281,14,secondary
LASI_ax1,46,1027.7740631103516,14,secondary
LASI_ax1,47,1031.6576538085938,14,secondary
LASI_ax1,48,1038.5782470703125,14,secondary
LASI_ax1,49,1047.330078125,14,secondary
LASI_ax1,50,1062.5306701660156,14,secondary
LASI_ax1,51,1065.3966369628906,14,secondary
LASI_ax1,52,1065.1158599853516,14,secondary
LASI_ax1,53,1055.1143188476562,14,secondary
LASI_ax1,54,1038.7559204101562,14,secondary
LASI_ax1,55,1028.7485961914062,14,secondary
LASI_ax1,56,1037.4354858398438,14,secondary
LASI_ax1,57,1052.6250610351562,14,secondary
LASI_ax1,58,1065.7814483642578,14,secondary
LASI_ax1,59,1065.4346923828125,14,secondary
LASI_ax1,60,1080.0988159179688,14,secondary
LASI_ax1,61,1088.684814453125,14,secondary
LASI_ax1,62,1095.2725830078125,14,secondary
LASI_ax1,63,1087.7123718261719,14,secondary
LASI_ax1,64,1081.7079162597656,14,secondary
LASI_ax1,65,1089.9733581542969,14,secondary
LASI_ax1,66,1098.0306701660156,14,secondary
LASI_ax1,67,1105.8838195800781,14,secondary
LASI_ax1,68,1113.5482482910156,14,secondary
LASI_ax1,69,1121.0348815917969,14,secondary
LASI_ax1,70,1129.9642944335938,14,secondary
LASI_ax1,71,1142.6403198242188,14,secondary
LASI_ax1,72,1155.1643676757812,14,secondary
LASI_ax1,73,1167.5380859375,14,secondary
