subject_id,channel,victimized,vel_rms,mean_abs_accel,n_extrema
S11,LHipAngles_ax1,N,0.9036186301230482,0.08988557533499268,2.0
S12,LHipAngles_ax1,N,1.007729268059389,0.16703863611249775,5.0
S13,LHipAngles_ax1,Y,1.057362374295783,0.10882429040585159,2.0
S14,LHipAngles_ax1,Y,0.9587153412053244,0.10701040603134007,2.0
S15,LHipAngles_ax1,Y,0.9921191790439544,0.11421948346004616,4.0
S17,LHipAngles_ax1,N,1.03228872224421,0.15540006809985052,6.0
S19,LHipAngles_ax1,Y,1.212809293616051,0.0976164453334299,4.0
S2,LHipAngles_ax1,N,0.9252605675110053,0.11885387550722831,4.0
S23,LHipAngles_ax1,N,0.9319944489040412,0.10284607592124059,5.0
S26,LHipAngles_ax1,Y,0.486878310121851,0.09219263413712393,7.0
S27,LHipAngles_ax1,Y,1.0119047785695359,0.10305648759987886,4.0
S3,LHipAngles_ax1,Y,0.36603315241272993,0.04855736510681781,4.0
S30,LHipAngles_ax1,N,1.194482818250614,0.11449065655535236,6.0
S31,LHipAngles_ax1,Y,1.0089197619959434,0.11089298971035562,6.0
S32,LHipAngles_ax1,Y,1.1634534420182348,0.12147990183792895,4.0
S34,LHipAngles_ax1,Y,0.8832982316762711,0.12170110642118924,6.0
S35,LHipAngles_ax1,N,0.8851531854471189,0.12832519048393098,4.0
S37,LHipAngles_ax1,Y,0.9927000408323561,0.13963119816231537,8.0
S38,LHipAngles_ax1,Y,0.9565854696633295,0.13787936280767885,6.0
S39,LHipAngles_ax1,N,0.45252587597494914,0.0636052944186721,4.0
S4,LHipAngles_ax1,Y,0.9308478594629154,0.09477897250621282,4.0
S40,LHipAngles_ax1,N,1.1222915059570815,0.1176094155137956,2.0
S41,LHipAngles_ax1,N,0.5770956012260606,0.07327422196811902,4.0
S42,LHipAngles_ax1,N,1.0145710798911662,0.08931197031069274,2.0
S43,LHipAngles_ax1,N,1.0775423895164573,0.10144108071269482,2.0
S46,LHipAngles_ax1,Y,0.9073248445857671,0.1573000124636601,6.0
S48,LHipAngles_ax1,N,0.9944931152868245,0.11030625144769676,4.0
S5,LHipAngles_ax1,Y,1.103536800461794,0.11347907538174785,2.0
S7,LHipAngles_ax1,Y,0.9720459700445472,0.11340656317530856,6.0
S8,LHipAngles_ax1,Y,1.1350710413488014,0.12234261770521622,4.0
S9,LHipAngles_ax1,N,0.9991342263692322,0.1047633987391007,4.0
S11,RHipAngles_ax1,N,0.8183883821627143,0.10436963416000938,3.0
S12,RHipAngles_ax1,N,1.0515173445005233,0.10215787038492535,4.0
S13,RHipAngles_ax1,Y,0.9430405869701937,0.0892307015216318,2.0
S14,RHipAngles_ax1,Y,0.8844276757560268,0.10087739712845953,4.0
S15,RHipAngles_ax1,Y,0.9683826646101334,0.11014646377709658,4.0
S17,RHipAngles_ax1,N,1.0959785663681547,0.1749777806223677,6.0
S19,RHipAngles_ax1,Y,1.2011691932516388,0.09606699762619751,2.0
S2,RHipAngles_ax1,N,0.956093792790656,0.12444246712462576,6.0
S23,RHipAngles_ax1,N,0.9878089223024414,0.10810991885526733,4.0
S26,RHipAngles_ax1,Y,0.45497571829086525,0.0956883315546268,6.0
S27,RHipAngles_ax1,Y,1.0566305104092932,0.11048046106672277,4.0
S3,RHipAngles_ax1,Y,0.42054035570047316,0.060165852588353774,4.0
S30,RHipAngles_ax1,N,1.2175356172243612,0.10248448767342037,2.0
S31,RHipAngles_ax1,Y,1.0182325852088407,0.12322196045561995,8.0
S32,RHipAngles_ax1,Y,1.1713396819577155,0.13854123139662688,4.0
S34,RHipAngles_ax1,Y,0.8414792483375132,0.12853682008978579,6.0
S35,RHipAngles_ax1,N,0.9226364240716829,0.1120252934451713,4.0
S37,RHipAngles_ax1,Y,0.9798442082366025,0.13015856128007505,8.0
S38,RHipAngles_ax1,Y,1.0697089243838966,0.13627195609328596,5.0
S39,RHipAngles_ax1,N,0.41039198827304846,0.08113413069975599,6.0
S4,RHipAngles_ax1,Y,0.9470503115469459,0.09570588366511881,4.0
S40,RHipAngles_ax1,N,1.0822137777362637,0.13022094000080298,2.0
S41,RHipAngles_ax1,N,0.43880764002925005,0.05426643331254346,4.0
S42,RHipAngles_ax1,N,0.9512100485222962,0.0957854484201928,2.0
S43,RHipAngles_ax1,N,1.0019937690348326,0.09304469337930611,2.0
S46,RHipAngles_ax1,Y,0.9330018460954163,0.11169608514378264,5.0
S48,RHipAngles_ax1,N,1.030471629098605,0.1128265889996309,2.0
S5,RHipAngles_ax1,Y,1.0929536597080733,0.09814643929676492,2.0
S7,RHipAngles_ax1,Y,0.9093497320736605,0.08942187328755125,4.0
S8,RHipAngles_ax1,Y,1.1921553795576054,0.1077647148964784,2.0
S9,RHipAngles_ax1,N,0.9409790983625461,0.11013400599089819,2.0
S11,LKneeAngles_ax1,N,1.90333022338328,0.2203380629936496,6.0
S12,LKneeAngles_ax1,N,2.3891476380520826,0.37537829654648674,6.0
S13,LKneeAngles_ax1,Y,1.9494378588053125,0.21543063637392132,4.0
S14,LKneeAngles_ax1,Y,1.9388893825582734,0.19746219153342853,3.0
S15,LKneeAngles_ax1,Y,1.8822818824094039,0.20215862453067812,5.0
S17,LKneeAngles_ax1,N,2.2650310342259803,0.26703030969151953,3.0
S19,LKneeAngles_ax1,Y,2.085250358504947,0.24152228880061827,4.0
S2,LKneeAngles_ax1,N,1.9516998884776953,0.23661583716095408,7.0
S23,LKneeAngles_ax1,N,1.9204036225392682,0.22241196159526494,3.0
S26,LKneeAngles_ax1,Y,1.5534148796054583,0.2313888859373577,4.0
S27,LKneeAngles_ax1,Y,1.934152055480489,0.21845983998912963,4.0
S3,LKneeAngles_ax1,Y,1.628462633568208,0.19342121204362278,4.0
S30,LKneeAngles_ax1,N,2.104742921945666,0.2461766639030164,4.0
S31,LKneeAngles_ax1,Y,1.9141109794739835,0.2103288916570427,3.0
S32,LKneeAngles_ax1,Y,2.004062264741766,0.22667561185365823,4.0
S34,LKneeAngles_ax1,Y,1.9430141825229064,0.2457431019812059,5.0
S35,LKneeAngles_ax1,N,1.9699408163513372,0.261673251878614,6.0
S37,LKneeAngles_ax1,Y,2.039183739472147,0.2615111846415845,4.0
S38,LKneeAngles_ax1,Y,2.076664502982792,0.2737467146455758,4.0
S39,LKneeAngles_ax1,N,1.3452098415631726,0.15118273332295173,3.0
