channel,metric,victim_median,control_median,cliffs_delta,raw_p,fdr_q
CentreOfMass_ax1,peak_timing_pct,100.0,100.0,-0.1722689075630252,0.3533449118902543,0.9874154461001539
CentreOfMass_ax1,min_timing_pct,7.0,3.0,0.13025210084033614,0.5459696740618438,0.9874154461001539
CentreOfMass_ax1,peak_magnitude,1209.9849950261369,1326.2134858244779,-0.1092436974789916,0.6197691020252198,0.9874154461001539
CentreOfMass_ax1,min_magnitude,727.7698150848177,676.3973215810067,0.17647058823529413,0.41579890439747025,0.9874154461001539
CentreOfMass_ax1,vel_rms,10.41758083734073,11.783742070754982,-0.36134453781512604,0.09160260294615868,0.9874154461001539
CentreOfMass_ax1,n_extrema,7.0,7.0,0.13025210084033614,0.5486104237117331,0.9874154461001539
CentreOfMass_ax2,peak_timing_pct,84.0,55.5,0.27310924369747897,0.20277467947114647,0.9874154461001539
CentreOfMass_ax2,min_timing_pct,9.0,33.5,-0.31932773109243695,0.13593777868259646,0.9874154461001539
CentreOfMass_ax2,peak_magnitude,302.925237695655,306.1940347453663,0.06722689075630252,0.7659271287306254,0.9911998136513975
CentreOfMass_ax2,min_magnitude,284.51038451294806,291.1911391322717,-0.01680672268907563,0.9525209600525544,1.0
CentreOfMass_ax2,vel_rms,0.5726023466360552,0.5987042060662533,-0.06722689075630252,0.7659271287306254,0.9911998136513975
CentreOfMass_ax2,n_extrema,8.0,8.5,-0.20588235294117646,0.33846279871935836,0.9874154461001539
CentreOfMass_ax3,peak_timing_pct,34.0,34.0,0.07563025210084033,0.7256141173813788,0.9874154461001539
CentreOfMass_ax3,min_timing_pct,59.0,58.0,0.12605042016806722,0.5545068729712422,0.9874154461001539
CentreOfMass_ax3,peak_magnitude,953.1448818109006,960.3955133967221,-0.05042016806722689,0.8271812329599,1.0
CentreOfMass_ax3,min_magnitude,913.7126390150407,925.9204638643452,0.0,1.0,1.0
CentreOfMass_ax3,vel_rms,1.644994603281496,1.5588574512345252,-0.10084033613445378,0.6480424001516927,0.9874154461001539
CentreOfMass_ax3,n_extrema,4.0,4.0,0.0,1.0,1.0
LAnkleAngles_ax1,peak_timing_pct,51.0,50.0,0.21428571428571427,0.3191633867888857,0.9874154461001539
LAnkleAngles_ax1,min_timing_pct,19.0,65.0,-0.23109243697478993,0.2817395778231395,0.9874154461001539
LAnkleAngles_ax1,peak_magnitude,13.721345443547756,15.222293244653144,0.09243697478991597,0.6768326043999054,0.9874154461001539
LAnkleAngles_ax1,min_magnitude,-9.95892289774126,-11.834259737899565,0.17647058823529413,0.41579890439747025,0.9874154461001539
LAnkleAngles_ax1,vel_rms,1.0038013746744272,0.98461306701668,-0.09243697478991597,0.6768326043999054,0.9874154461001539
LAnkleAngles_ax1,n_extrema,6.0,6.0,0.004201680672268907,1.0,1.0
LFootProgressAngles_ax1,peak_timing_pct,21.0,68.0,-0.29831932773109243,0.16166547724124714,0.9874154461001539
LFootProgressAngles_ax1,min_timing_pct,50.0,50.0,-0.14285714285714285,0.5057726949094397,0.9874154461001539
LFootProgressAngles_ax1,peak_magnitude,-20.013539089745365,-19.2825490066778,-0.08403361344537816,0.7061030154647306,0.9874154461001539
LFootProgressAngles_ax1,min_magnitude,-112.78581011934475,-115.15103705168343,0.15126050420168066,0.4872755078332215,0.9874154461001539
LFootProgressAngles_ax1,vel_rms,2.4461607277704127,2.5593067583655373,-0.16806722689075632,0.43890886310183785,0.9874154461001539
LFootProgressAngles_ax1,n_extrema,4.0,4.0,-0.06722689075630252,0.7324730933720806,0.9874154461001539
LHipAngles_ax1,peak_timing_pct,39.0,73.0,-0.42436974789915966,0.04668721581337003,0.9874154461001539
LHipAngles_ax1,min_timing_pct,11.0,53.5,-0.13445378151260504,0.5366118147077588,0.9874154461001539
LHipAngles_ax1,peak_magnitude,40.97136745586265,35.81581218981805,0.33613445378151263,0.11689950779539895,0.9874154461001539
LHipAngles_ax1,min_magnitude,1.5992318866969861,-1.5894467383449498,0.18487394957983194,0.39342338542861877,0.9874154461001539
LHipAngles_ax1,vel_rms,0.9921191790439544,0.9968136708280284,0.03361344537815126,0.8895056756162,1.0
LHipAngles_ax1,n_extrema,4.0,4.0,0.24369747899159663,0.23406629150928793,0.9874154461001539
LKneeAngles_ax1,peak_timing_pct,28.0,75.0,-0.28991596638655465,0.1738539868991077,0.9874154461001539
LKneeAngles_ax1,min_timing_pct,50.0,50.5,-0.004201680672268907,1.0,1.0
LKneeAngles_ax1,peak_magnitude,69.8974639430193,65.84142910350474,0.20168067226890757,0.3509160535416732,0.9874154461001539
LKneeAngles_ax1,min_magnitude,9.493110490012002,8.474841624706782,0.19327731092436976,0.371793069296558,0.9874154461001539
LKneeAngles_ax1,vel_rms,1.9430141825229064,1.9630663133462023,-0.17647058823529413,0.41579890439747025,0.9874154461001539
LKneeAngles_ax1,n_extrema,4.0,4.0,0.004201680672268907,1.0,1.0
RAnkleAngles_ax1,peak_timing_pct,52.0,46.0,0.3949579831932773,0.06346622734329792,0.9874154461001539
RAnkleAngles_ax1,min_timing_pct,66.0,19.5,0.1134453781512605,0.601891468224309,0.9874154461001539
RAnkleAngles_ax1,peak_magnitude,17.084677084898395,15.800392405692246,0.14285714285714285,0.512497079202056,0.9874154461001539
RAnkleAngles_ax1,min_magnitude,-8.241211743065831,-10.446043617936589,0.16806722689075632,0.43890886310183785,0.9874154461001539
RAnkleAngles_ax1,vel_rms,0.9566048014778742,1.010153502185624,0.03361344537815126,0.8895056756162,1.0
RAnkleAngles_ax1,n_extrema,5.0,5.0,-0.029411764705882353,0.9021793654930171,1.0
RFootProgressAngles_ax1,peak_timing_pct,69.0,21.0,0.09243697478991597,0.6730802205854638,0.9874154461001539
RFootProgressAngles_ax1,min_timing_pct,49.0,49.5,-0.12184873949579832,0.5708113945173945,0.9874154461001539
RFootProgressAngles_ax1,peak_magnitude,-19.58699592288009,-18.32703330744681,-0.008403361344537815,0.9841653411945137,1.0
RFootProgressAngles_ax1,min_magnitude,-113.48460916372434,-113.3787181738655,0.025210084033613446,0.9209512705693832,1.0
RFootProgressAngles_ax1,vel_rms,2.4377157211031166,2.515925285341103,-0.058823529411764705,0.7963973678502935,1.0
RFootProgressAngles_ax1,n_extrema,4.0,4.0,-0.16806722689075632,0.37412249688891863,0.9874154461001539
RHipAngles_ax1,peak_timing_pct,53.0,48.0,0.1134453781512605,0.6050719790661995,0.9874154461001539
RHipAngles_ax1,min_timing_pct,55.0,31.5,0.16806722689075632,0.4361669372314676,0.9874154461001539
RHipAngles_ax1,peak_magnitude,41.75253854764939,36.79340774251599,0.37815126050420167,0.0773300536866556,0.9874154461001539
RHipAngles_ax1,min_magnitude,5.473555453729537,0.7790069924558963,0.24369747899159663,0.2579351703686603,0.9874154461001539
RHipAngles_ax1,vel_rms,0.9683826646101334,0.9719513575465487,0.025210084033613446,0.9209512705693832,1.0
RHipAngles_ax1,n_extrema,4.0,3.5,0.2605042016806723,0.20636382205826265,0.9874154461001539
RKneeAngles_ax1,peak_timing_pct,74.0,27.0,0.07563025210084033,0.7330811645289022,0.9874154461001539
RKneeAngles_ax1,min_timing_pct,49.0,50.0,0.03361344537815126,0.8884390570817178,1.0
RKneeAngles_ax1,peak_magnitude,71.51468084019682,70.11129759853003,0.09243697478991597,0.6768326043999054,0.9874154461001539
RKneeAngles_ax1,min_magnitude,11.845717630186293,11.076289480382782,0.15126050420168066,0.4872755078332215,0.9874154461001539
RKneeAngles_ax1,vel_rms,1.9116221212816016,1.983789919148594,-0.18487394957983194,0.39342338542861877,0.9874154461001539
RKneeAngles_ax1,n_extrema,4.0,4.0,0.1092436974789916,0.5480350299859771,0.9874154461001539
