signal,axis,family,n_subjects_ok,n_subjects,median_subject_finite_frac,min_subject_finite_frac,eligible,zero_filled,interpolated
LASI,ax1,marker,31,31,1.0,1.0,True,False,False
LASI,ax2,marker,31,31,1.0,1.0,True,False,False
LASI,ax3,marker,31,31,1.0,1.0,True,False,False
RASI,ax1,marker,31,31,1.0,1.0,True,False,False
RASI,ax2,marker,31,31,1.0,1.0,True,False,False
RASI,ax3,marker,31,31,1.0,1.0,True,False,False
LPSI,ax1,marker,31,31,1.0,1.0,True,False,False
LPSI,ax2,marker,31,31,1.0,1.0,True,False,False
LPSI,ax3,marker,31,31,1.0,1.0,True,False,False
RPSI,ax1,marker,31,31,1.0,1.0,True,False,False
RPSI,ax2,marker,31,31,1.0,1.0,True,False,False
RPSI,ax3,marker,31,31,1.0,1.0,True,False,False
LHJC,ax1,joint_center,31,31,1.0,1.0,True,False,False
LHJC,ax2,joint_center,31,31,1.0,1.0,True,False,False
LHJC,ax3,joint_center,31,31,1.0,1.0,True,False,False
RHJC,ax1,joint_center,31,31,1.0,1.0,True,False,False
RHJC,ax2,joint_center,31,31,1.0,1.0,True,False,False
RHJC,ax3,joint_center,31,31,1.0,1.0,True,False,False
LHipAngles,ax1,joint_angle,31,31,1.0,1.0,True,False,False
LHipAngles,ax2,joint_angle,31,31,1.0,1.0,True,False,False
LHipAngles,ax3,joint_angle,31,31,1.0,1.0,True,False,False
RHipAngles,ax1,joint_angle,31,31,1.0,1.0,True,False,False
RHipAngles,ax2,joint_angle,31,31,1.0,1.0,True,False,False
RHipAngles,ax3,joint_angle,31,31,1.0,1.0,True,False,False
LKJC,ax1,joint_center,31,31,1.0,1.0,True,False,False
LKJC,ax2,joint_center,31,31,1.0,1.0,True,False,False
LKJC,ax3,joint_center,31,31,1.0,1.0,True,False,False
RKJC,ax1,joint_center,31,31,1.0,1.0,True,False,False
RKJC,ax2,joint_center,31,31,1.0,1.0,True,False,False
RKJC,ax3,joint_center,31,31,1.0,1.0,True,False,False
LKneeAngles,ax1,joint_angle,31,31,1.0,1.0,True,False,False
LKneeAngles,ax2,joint_angle,31,31,1.0,1.0,True,False,False
LKneeAngles,ax3,joint_angle,31,31,1.0,1.0,True,False,False
RKneeAngles,ax1,joint_angle,31,31,1.0,1.0,True,False,False
RKneeAngles,ax2,joint_angle,31,31,1.0,1.0,True,False,False
RKneeAngles,ax3,joint_angle,31,31,1.0,1.0,True,False,False
LAJC,ax1,joint_center,31,31,1.0,1.0,True,False,False
LAJC,ax2,joint_center,31,31,1.0,1.0,True,False,False
LAJC,ax3,joint_center,31,31,1.0,1.0,True,False,False
RAJC,ax1,joint_center,31,31,1.0,1.0,True,False,False
RAJC,ax2,joint_center,31,31,1.0,1.0,True,False,False
RAJC,ax3,joint_center,31,31,1.0,1.0,True,False,False
LAnkleAngles,ax1,joint_angle,31,31,1.0,1.0,True,False,False
LAnkleAngles,ax2,joint_angle,31,31,1.0,1.0,True,False,False
LAnkleAngles,ax3,joint_angle,31,31,1.0,1.0,True,False,False
RAnkleAngles,ax1,joint_angle,31,31,1.0,1.0,True,False,False
RAnkleAngles,ax2,joint_angle,31,31,1.0,1.0,True,False,False
RAnkleAngles,ax3,joint_angle,31,31,1.0,1.0,True,False,False
LAbsAnkleAngle,ax1,joint_angle,31,31,1.0,1.0,True,False,False
LAbsAnkleAngle,ax2,joint_angle,31,31,1.0,1.0,True,False,False
LAbsAnkleAngle,ax3,joint_angle,31,31,1.0,1.0,True,False,False
RAbsAnkleAngle,ax1,joint_angle,31,31,1.0,1.0,True,False,False
RAbsAnkleAngle,ax2,joint_angle,31,31,1.0,1.0,True,False,False
RAbsAnkleAngle,ax3,joint_angle,31,31,1.0,1.0,True,False,False
LHEE,ax1,marker,31,31,1.0,1.0,True,False,False
LHEE,ax2,marker,31,31,1.0,1.0,True,False,False
LHEE,ax3,marker,31,31,1.0,1.0,True,False,False
RHEE,ax1,marker,31,31,1.0,1.0,True,False,False
RHEE,ax2,marker,31,31,1.0,1.0,True,False,False
RHEE,ax3,marker,31,31,1.0,1.0,True,False,False
LTOE,ax1,marker,31,31,1.0,1.0,True,False,False
LTOE,ax2,marker,31,31,1.0,1.0,True,False,False
LTOE,ax3,marker,31,31,1.0,1.0,True,False,False
RTOE,ax1,marker,31,31,1.0,1.0,True,False,False
RTOE,ax2,marker,31,31,1.0,1.0,True,False,False
RTOE,ax3,marker,31,31,1.0,1.0,True,False,False
LFootProgressAngles,ax1,foot_progression,31,31,1.0,1.0,True,False,False
LFootProgressAngles,ax2,foot_progression,31,31,1.0,1.0,True,False,False
LFootProgressAngles,ax3,foot_progression,31,31,1.0,1.0,True,False,False
RFootProgressAngles,ax1,foot_progression,31,31,1.0,1.0,True,False,False
RFootProgressAngles,ax2,foot_progression,31,31,1.0,1.0,True,False,False
RFootProgressAngles,ax3,foot_progression,31,31,1.0,1.0,True,False,False
CentreOfMass,ax1,com,31,31,1.0,1.0,True,False,False
CentreOfMass,ax2,com,31,31,1.0,1.0,True,False,False
CentreOfMass,ax3,com,31,31,1.0,1.0,True,False,False
CentreOfMassFloor,ax1,com,31,31,1.0,1.0,True,False,False
CentreOfMassFloor,ax2,com,31,31,1.0,1.0,True,False,False
CentreOfMassFloor,ax3,com,31,31,1.0,1.0,True,False,False
