,S11,S12,S13,S14,S15,S17,S19,S2,S23,S26,S27,S3,S30,S31,S32,S34,S35,S37,S38,S39,S4,S40,S41,S42,S43,S46,S48,S5,S7,S8,S9
S11,1.0,-0.023709567770530567,0.6433413176270658,0.319212688078824,0.41450692112029375,-0.12024872287225154,0.22262372759986224,0.5377480069797781,0.4731086931204088,-0.5491029510716793,0.4015784778142035,-0.6014538835804133,0.12125003796609851,0.5104675287710688,0.15833108037616136,0.33193611384282073,-0.11102571413289752,0.6845097587800559,0.43701099532395676,-0.5661143817236192,-0.0641667777973331,-0.06876755264592146,-0.554757982556629,0.6946580976290938,0.32956768205098963,-0.012546179899496867,0.5767888142143507,0.022910417740524578,0.7662617501138071,0.1902786500607621,0.6044483894826551
S12,-0.023709567770530567,1.0000000000000002,-0.18428270715241926,0.010771065109422096,-0.022089036664962817,0.44106097862690047,-0.003192618604970938,-0.32040852877402465,0.0004223133861495608,-0.24835065441208876,-0.1324880515342828,-0.2269596220786947,-0.26138033253376164,-0.226198376820421,-0.018874098736574366,-0.12510719999145611,-0.07835325893909294,-0.19266831445321594,-0.1532945436272609,-0.20950412598727883,0.6627071925740877,-0.10835672747512173,-0.2354450612900536,-0.10381807451861925,-0.33488072611289765,0.0931682898833659,-0.20470573467121966,-0.09439368530982267,-0.1560935458107503,-0.01331859130010024,-0.08412187726615915
S13,0.6433413176270658,-0.18428270715241926,0.9999999999999999,0.3928574144426719,0.598998205786629,-0.012374698742409188,-0.026779619554505814,0.7105748746756684,0.4902271761717075,-0.5034319597701384,0.28046505143091915,-0.6699223164476495,0.18002731330602115,0.6654723976919921,-0.042246257563262175,0.3286547919499294,-0.1392588012368616,0.7088179662508863,0.5332313266030058,-0.5368167861374619,-0.14541224383694168,-0.0866064324876868,-0.5513900325279666,0.7759836858827294,0.4718844248800897,0.027130810314398613,0.6680214896498373,-0.04104782157374048,0.6818894993450794,0.27304225976007773,0.4252255621268049
S14,0.319212688078824,0.010771065109422096,0.3928574144426719,1.0,0.26270784768753863,-0.09727986255956454,-0.05858403332559698,0.2917971196188631,0.18593340842671688,0.004353823840191959,0.055523358637357814,-0.16256865357208342,-0.013682283363873733,0.15315883673453434,-0.043801838606220105,0.12099022380728715,-0.073190723279701,0.15888711421966556,0.13477259683258805,-0.04257553051621072,-0.01701494823103575,-0.1387947071352538,-0.047175484306857945,0.35733611613482896,-0.12461169008525579,0.034331167984186124,0.36631002088434556,-0.0032940868010752915,0.24467281079141998,0.7326455041584072,0.3251597720822108
S15,0.41450692112029375,-0.022089036664962817,0.598998205786629,0.26270784768753863,1.0000000000000002,0.05980726834945759,-0.11418915693410837,0.4336407337621287,0.49042282642868235,-0.23881304034569503,0.2469350273913813,-0.505995586546423,0.18306479006026363,0.3119952942813526,-0.12318907660892388,0.3438033548205725,-0.2569961857251628,0.5013480010096053,0.32296834984901496,-0.22975940577716605,-0.04051314260070108,-0.26146032331534996,-0.33363788522177057,0.6384837495177551,0.2532824574527966,0.0495386051809287,0.3898700014436355,-0.27514999655351574,0.3007825977912157,0.08592837474162328,0.13776385296695157
S17,-0.12024872287225154,0.44106097862690047,-0.012374698742409188,-0.09727986255956454,0.05980726834945759,0.9999999999999991,-0.5838987115097686,-0.09780561533059132,-0.18800372046976885,-0.11825637737285885,0.05411648737063063,-0.20650259246617014,-0.08660259668283368,-0.23166594125755077,-0.24435014409890218,0.04899301656307849,-0.18984946465369748,-0.09032142070580776,0.0324568670719384,-0.138639919400833,-0.0711129409367084,-0.2543173373058966,-0.09697450958498949,-0.10293614255184105,-0.2967487293929754,-0.48460410228794787,-0.2356900630893926,-0.2658152192315532,-0.03862061094338401,-0.06317825927933164,0.013036158698172094
S19,0.22262372759986224,-0.003192618604970938,-0.026779619554505814,-0.05858403332559698,-0.11418915693410837,-0.5838987115097686,0.9999999999999998,-0.026276380730007546,0.0368425762036415,-0.17224094220956382,0.03537662478256367,0.16959519226388362,-0.37661334619400727,0.14909217078394235,0.28093544931066056,-0.04244018735766822,0.5046916995182066,0.018417631237941354,-0.038114092593579535,-0.1267014830300427,0.043776502137636744,0.6039935777521496,-0.1975657677632912,0.08943817151034864,0.14062848473266532,0.034671582405014126,0.165336098940918,0.5984669513642107,0.03731844369801742,0.21236042463202354,-0.06222585970924015
S2,0.5377480069797781,-0.32040852877402465,0.7105748746756684,0.2917971196188631,0.4336407337621287,-0.09780561533059132,-0.026276380730007546,1.0000000000000002,0.3318649824185418,-0.2707198768809996,0.3973996958968305,-0.4845412154937658,0.20259678513400076,0.4685475890978546,0.023781491249896956,0.4685721772687576,-0.1885347206233301,0.6531923865872351,0.5466010167323209,-0.31200073041858617,-0.2038884550498567,-0.15375255195983303,-0.3332605310487623,0.7133514305953896,0.42626542797621064,-0.0006723233540959119,0.43571479528360196,-0.07212029259277195,0.5378141198920472,0.12516409028934564,0.4704959746536586
S23,0.4731086931204088,0.0004223133861495608,0.4902271761717075,0.18593340842671688,0.49042282642868235,-0.18800372046976885,0.0368425762036415,0.3318649824185418,0.9999999999999999,-0.33821553978632013,0.43164252676013076,-0.5750844184002183,0.0888971989984102,0.5989481473458366,0.027942154085591964,0.39012124495274914,-0.18405820372945977,0.5706197432448693,0.5484125202027557,-0.3968380460899596,-0.034626183167221165,-0.1804770340107202,-0.3448442108255202,0.5143399448831745,0.4357589017356484,0.04302009581519982,0.5177132798536416,-0.16235615392999136,0.6321545744959297,0.032821983014897554,0.6715217732955893
S26,-0.5491029510716793,-0.24835065441208876,-0.5034319597701384,0.004353823840191959,-0.23881304034569503,-0.11825637737285885,-0.17224094220956382,-0.2707198768809996,-0.33821553978632013,1.0,-0.4307993103853394,0.7453983213539536,-0.13292816979130528,-0.5203617116049016,-0.11533333069522318,-0.10387023673800208,-0.07059303320730732,-0.41960007045973347,-0.2406149706169893,0.9697242014446622,-0.27614484810154105,-0.1715849472041035,0.9360420949422485,-0.4975263745722286,-0.4857976244901555,-0.21462598047171727,-0.3884956745648112,-0.19098703636009573,-0.5136338147235747,-0.1779729392112212,-0.46045279377068915
