feature,victim_prevalence,victim_pairwise_coexceedance,null_mean_coexceedance,raw_p,band_lo,band_hi,fdr_q
CentreOfMass_path3d__median,0.5294117647058824,0.2647058823529412,0.10297794485330887,0.1022,1354.0908861680182,1500.3772443883265,0.94125
LASI_path3d__median,0.5294117647058824,0.2647058823529412,0.10468767464981792,0.1059,1361.2906804933107,1508.444136805647,0.94125
cycle_duration_s__median,0.5294117647058824,0.2647058823529412,0.1003740079890342,0.1091,1.0230000000000001,1.114,0.94125
LTOE_path3d__median,0.47058823529411764,0.20588235294117646,0.10312943059011784,0.1775,1432.4318653311896,1581.22965498118,0.94125
RFootProgressAngles_ax1_rom__median,0.47058823529411764,0.20588235294117646,0.10309854514863252,0.1974,97.61740097999572,108.22800912857056,0.94125
LFootProgressAngles_ax1_rom__median,0.4117647058823529,0.15441176470588236,0.1029801509562721,0.2807,98.69542531967163,108.8780026435852,0.94125
coord_right_knee_ankle_ax1_corr__median,0.4117647058823529,0.15441176470588236,0.10770268203290917,0.2933,-0.7872608425534336,-0.5946527217239247,0.94125
LKneeAngles_ax1_tmax_pct__median,0.4117647058823529,0.15441176470588236,0.09863706958931186,0.2983,27.3,75.7,0.94125
RAnkleAngles_ax1_tmax_pct__median,0.29411764705882354,0.07352941176470588,0.05384361965608325,0.3045,47.3,52.0,0.94125
LKneeAngles_ax1_tmin_pct__median,0.35294117647058826,0.11029411764705882,0.07691504444562103,0.3289,47.3,51.0,0.94125
coord_right_hip_knee_ax1_lag_pct__median,0.17647058823529413,0.022058823529411766,0.017192160392509842,0.3757,-10.0,-2.9999999999999893,0.94125
coord_right_knee_ankle_ax1_lag_pct__median,0.35294117647058826,0.11029411764705882,0.08803012654206596,0.3765,-7.7,-3.299999999999999,0.94125
stance_pct__median,0.35294117647058826,0.11029411764705882,0.10538921539212744,0.4345,64.3069306930693,65.94070080862534,0.9453529411764705
LHipAngles_ax1_tmin_pct__median,0.29411764705882354,0.07352941176470588,0.09850396804386319,0.5112,7.9,55.400000000000006,0.9453529411764705
mid_stance_pct__median,0.29411764705882354,0.07352941176470588,0.09481095168340363,0.5251,31.239721695129663,32.30807577268195,0.9453529411764705
RHipAngles_ax1_rom__median,0.29411764705882354,0.07352941176470588,0.09605151691639752,0.5306,42.643248909711836,52.349079036712645,0.9453529411764705
LAnkleAngles_ax1_rom__median,0.29411764705882354,0.07352941176470588,0.097186189207156,0.5357,27.8850359916687,41.15684041976929,0.9453529411764705
RKneeAngles_ax1_rom__median,0.29411764705882354,0.07352941176470588,0.10506197678591389,0.5812,61.47346639633179,69.45399004220963,0.9686666666666667
RKneeAngles_ax1_tmax_pct__median,0.23529411764705882,0.04411764705882353,0.09194301783119488,0.6333,26.3,75.0,0.9802799999999999
LHipAngles_ax1_rom__median,0.23529411764705882,0.04411764705882353,0.10481415788637685,0.7095,44.390382814407346,52.1242347240448,0.9802799999999999
LAnkleAngles_ax1_tmax_pct__median,0.17647058823529413,0.022058823529411766,0.07216015719218981,0.7441,49.0,53.0,0.9802799999999999
coord_left_knee_ankle_ax1_lag_pct__median,0.17647058823529413,0.022058823529411766,0.08396942635440013,0.7826,-7.0,-3.299999999999999,0.9802799999999999
coord_left_hip_knee_ax1_corr__median,0.17647058823529413,0.022058823529411766,0.09815760987863491,0.8105,0.08581612565585134,0.2690871332435864,0.9802799999999999
RAnkleAngles_ax1_rom__median,0.17647058823529413,0.022058823529411766,0.0984973497349735,0.8151,27.92470145225525,39.65440454483033,0.9802799999999999
coord_right_hip_knee_ax1_corr__median,0.17647058823529413,0.022058823529411766,0.09963643423165845,0.8169,0.06302969756923653,0.22976526790624982,0.9802799999999999
coord_left_knee_ankle_ax1_corr__median,0.17647058823529413,0.022058823529411766,0.09948200702423182,0.8513,-0.7645615949189224,-0.5750172280765607,0.9822692307692307
LHipAngles_ax1_tmax_pct__median,0.11764705882352941,0.007352941176470588,0.08298550443279622,0.9151,39.0,52.50000000000001,1.0
LKneeAngles_ax1_rom__median,0.058823529411764705,0.0,0.10878955542613084,1.0,59.80744662284851,69.29240899085998,1.0
RHipAngles_ax1_tmax_pct__median,0.0,0.0,0.09967835018795997,1.0,39.0,75.50000000000004,1.0
coord_left_hip_knee_ax1_lag_pct__median,0.0,0.0,0.013029244100880676,1.0,-10.0,10.0,1.0
