feature,victim_prevalence,victim_pairwise_coexceedance,null_mean_coexceedance,raw_p,band_lo,band_hi,fdr_q
RFootProgressAngles_ax1_rom__median,0.5882352941176471,0.33088235294117646,0.10026443820852673,0.0613,-2.4554274683559996,4.86264280731062,0.8955000000000001
RAnkleAngles_ax1_tmax_pct__median,0.5294117647058824,0.2647058823529412,0.09714574398616331,0.1045,-3.1076286698954596,3.543537656176903,0.8955000000000001
LKneeAngles_ax1_tmin_pct__median,0.5294117647058824,0.2647058823529412,0.10160721954548395,0.1075,-3.8036092693916146,0.3184215196610837,0.8955000000000001
LHipAngles_ax1_tmin_pct__median,0.5294117647058824,0.2647058823529412,0.10277792485130867,0.1194,-26.609861180409396,19.409311187202086,0.8955000000000001
LAnkleAngles_ax1_tmax_pct__median,0.47058823529411764,0.20588235294117646,0.09500729484713176,0.175,-2.134300850064436,1.2662420883793875,0.9762692307692308
mid_stance_pct__median,0.4117647058823529,0.15441176470588236,0.10210285734455798,0.2778,-0.38138958384287774,0.5194651133662817,0.9762692307692308
cycle_duration_s__median,0.35294117647058826,0.11029411764705882,0.09976806504179829,0.416,2.6645352591003757e-13,4.024780508871118e-13,0.9762692307692308
LFootProgressAngles_ax1_rom__median,0.35294117647058826,0.11029411764705882,0.10001809004429854,0.4178,-3.3943691722846863,5.824950161085727,0.9762692307692308
LASI_path3d__median,0.35294117647058826,0.11029411764705882,0.10534656406817153,0.4242,-71.79098471603206,66.72555266226769,0.9762692307692308
LTOE_path3d__median,0.35294117647058826,0.11029411764705882,0.10762693916450466,0.4276,-70.42278495681572,76.04870870038343,0.9762692307692308
RHipAngles_ax1_rom__median,0.35294117647058826,0.11029411764705882,0.10774753945982833,0.4435,-4.602327674100846,4.792638363489409,0.9762692307692308
RKneeAngles_ax1_rom__median,0.29411764705882354,0.07352941176470588,0.09856868039745151,0.5403,-3.1586089106614397,4.076245848465145,0.9762692307692308
LHipAngles_ax1_tmax_pct__median,0.29411764705882354,0.07352941176470588,0.10013060129542366,0.5456,-5.660176140797387,9.133774642277505,0.9762692307692308
CentreOfMass_path3d__median,0.29411764705882354,0.07352941176470588,0.0981384903196202,0.5518,-68.72899732873239,64.87277854139825,0.9762692307692308
stance_pct__median,0.23529411764705882,0.04411764705882353,0.09800685950948036,0.6768,-0.6306785690649293,0.8963734016190743,0.9762692307692308
coord_right_knee_ankle_ax1_corr__median,0.23529411764705882,0.04411764705882353,0.09400498873416754,0.6804,-0.10430738388980931,0.09134403417681296,0.9762692307692308
coord_right_hip_knee_ax1_lag_pct__median,0.23529411764705882,0.04411764705882353,0.0962030026532065,0.6851,-4.590713584009585,4.96028432662981,0.9762692307692308
coord_right_knee_ankle_ax1_lag_pct__median,0.23529411764705882,0.04411764705882353,0.10058138166757852,0.6995,-2.7371340448407717,1.8478378176444579,0.9762692307692308
LHipAngles_ax1_rom__median,0.23529411764705882,0.04411764705882353,0.10396260214256718,0.7016,-3.4226280536679967,4.260224229676071,0.9762692307692308
coord_left_hip_knee_ax1_corr__median,0.23529411764705882,0.04411764705882353,0.10042548372484307,0.7154,-0.0905273731109763,0.09570354145364414,0.9762692307692308
RKneeAngles_ax1_tmax_pct__median,0.23529411764705882,0.04411764705882353,0.10611355253172376,0.7163,-26.420975131685093,25.310510552428994,0.9762692307692308
coord_left_hip_knee_ax1_lag_pct__median,0.23529411764705882,0.04411764705882353,0.1085468841001747,0.7216,-3.4809555310480524,16.794124847100342,0.9762692307692308
LKneeAngles_ax1_tmax_pct__median,0.23529411764705882,0.04411764705882353,0.11827432743274327,0.7798,-24.469253523182157,26.345564973954033,0.9762692307692308
RAnkleAngles_ax1_rom__median,0.17647058823529413,0.022058823529411766,0.09739429825335474,0.8213,-4.494886454460289,7.289689159880658,0.9762692307692308
coord_right_hip_knee_ax1_corr__median,0.17647058823529413,0.022058823529411766,0.10425086626309689,0.8342,-0.08687139857031141,0.06949071029884749,0.9762692307692308
RHipAngles_ax1_tmax_pct__median,0.17647058823529413,0.022058823529411766,0.10306398286887514,0.8461,-7.090686187761054,28.8143786151575,0.9762692307692308
coord_left_knee_ankle_ax1_lag_pct__median,0.11764705882352941,0.007352941176470588,0.09640743486113318,0.8911,-1.4965395873102991,1.8659362237327115,0.9822857142857142
LAnkleAngles_ax1_rom__median,0.11764705882352941,0.007352941176470588,0.09748989604842835,0.9168,-5.071572513907261,8.872330325622086,0.9822857142857142
coord_left_knee_ankle_ax1_corr__median,0.11764705882352941,0.007352941176470588,0.1067334674643935,0.9644,-0.09186993061996863,0.09346774077859897,0.9976551724137932
LKneeAngles_ax1_rom__median,0.058823529411764705,0.0,0.10500020590294322,1.0,-4.268812163239228,5.659422711963219,1.0
