,S2,S3,S4,S5,S7,S8,S9,S11,S12,S13,S14,S15,S17,S19,S23,S26,S27,S30,S31,S32,S34,S35,S37,S38,S39,S40,S41,S42,S43,S46,S48
S2,1.0,0.0,0.0,0.0,0.125,0.0,0.0,0.0,0.0,0.16666666666666666,0.0,0.1,0.07142857142857142,0.1,0.16666666666666666,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0
S3,0.0,1.0,0.06666666666666667,0.09523809523809523,0.16666666666666666,0.125,0.058823529411764705,0.2631578947368421,0.1875,0.26666666666666666,0.4117647058823529,0.21052631578947367,0.35,0.21052631578947367,0.1875,0.17647058823529413,0.1875,0.3333333333333333,0.05555555555555555,0.19047619047619047,0.19047619047619047,0.3125,0.25,0.16666666666666666,0.23529411764705882,0.17647058823529413,0.15789473684210525,0.0,0.058823529411764705,0.21052631578947367,0.4
S4,0.0,0.06666666666666667,1.0,0.18181818181818182,0.2222222222222222,0.14285714285714285,0.0,0.16666666666666666,0.125,0.0,0.0,0.0,0.0625,0.08333333333333333,0.125,0.0,0.0,0.125,0.0,0.07142857142857142,0.07142857142857142,0.1,0.0,0.1,0.1,0.1111111111111111,0.0,0.25,0.14285714285714285,0.18181818181818182,0.0
S5,0.0,0.09523809523809523,0.18181818181818182,1.0,0.2857142857142857,0.15384615384615385,0.25,0.3125,0.14285714285714285,0.06666666666666667,0.23529411764705882,0.25,0.14285714285714285,0.1111111111111111,0.06666666666666667,0.3076923076923077,0.06666666666666667,0.5625,0.23076923076923078,0.375,0.29411764705882354,0.058823529411764705,0.21428571428571427,0.058823529411764705,0.2,0.4166666666666667,0.11764705882352941,0.09090909090909091,0.07142857142857142,0.5384615384615384,0.0
S7,0.125,0.16666666666666666,0.2222222222222222,0.2857142857142857,1.0,0.18181818181818182,0.08333333333333333,0.05555555555555555,0.2727272727272727,0.16666666666666666,0.11764705882352941,0.2,0.2222222222222222,0.2,0.16666666666666666,0.25,0.2727272727272727,0.2777777777777778,0.07692307692307693,0.17647058823529413,0.1111111111111111,0.14285714285714285,0.07142857142857142,0.23076923076923078,0.14285714285714285,0.15384615384615385,0.13333333333333333,0.25,0.08333333333333333,0.125,0.14285714285714285
S8,0.0,0.125,0.14285714285714285,0.15384615384615385,0.18181818181818182,1.0,0.1111111111111111,0.23076923076923078,0.375,0.1,0.23076923076923078,0.15384615384615385,0.11764705882352941,0.25,0.1,0.09090909090909091,0.2222222222222222,0.1111111111111111,0.1,0.13333333333333333,0.13333333333333333,0.0,0.0,0.18181818181818182,0.08333333333333333,0.2,0.07692307692307693,0.16666666666666666,0.1111111111111111,0.07142857142857142,0.08333333333333333
S9,0.0,0.058823529411764705,0.0,0.25,0.08333333333333333,0.1111111111111111,1.0,0.06666666666666667,0.0,0.2222222222222222,0.06666666666666667,0.0,0.26666666666666666,0.07142857142857142,0.1,0.09090909090909091,0.2222222222222222,0.1111111111111111,0.1,0.13333333333333333,0.3076923076923077,0.0,0.0,0.08333333333333333,0.0,0.2,0.07692307692307693,0.0,0.1111111111111111,0.07142857142857142,0.0
S11,0.0,0.2631578947368421,0.16666666666666666,0.3125,0.05555555555555555,0.23076923076923078,0.06666666666666667,1.0,0.3076923076923077,0.0625,0.4666666666666667,0.16666666666666666,0.25,0.10526315789473684,0.13333333333333333,0.2857142857142857,0.13333333333333333,0.5294117647058824,0.21428571428571427,0.4375,0.4375,0.05555555555555555,0.38461538461538464,0.05555555555555555,0.35714285714285715,0.2,0.05263157894736842,0.0,0.0,0.4,0.05555555555555555
S12,0.0,0.1875,0.125,0.14285714285714285,0.2727272727272727,0.375,0.0,0.3076923076923077,1.0,0.09090909090909091,0.3076923076923077,0.14285714285714285,0.1111111111111111,0.14285714285714285,0.09090909090909091,0.18181818181818182,0.3333333333333333,0.16666666666666666,0.2,0.2857142857142857,0.2857142857142857,0.16666666666666666,0.3,0.2727272727272727,0.16666666666666666,0.08333333333333333,0.07142857142857142,0.14285714285714285,0.0,0.23076923076923078,0.07692307692307693
S13,0.16666666666666666,0.26666666666666666,0.0,0.06666666666666667,0.16666666666666666,0.1,0.2222222222222222,0.0625,0.09090909090909091,1.0,0.13333333333333333,0.14285714285714285,0.17647058823529413,0.14285714285714285,0.09090909090909091,0.08333333333333333,0.5,0.16666666666666666,0.0,0.058823529411764705,0.125,0.16666666666666666,0.08333333333333333,0.16666666666666666,0.0,0.3,0.07142857142857142,0.0,0.2222222222222222,0.06666666666666667,0.16666666666666666
S14,0.0,0.4117647058823529,0.0,0.23529411764705882,0.11764705882352941,0.23076923076923078,0.06666666666666667,0.4666666666666667,0.3076923076923077,0.13333333333333333,1.0,0.4,0.25,0.10526315789473684,0.0625,0.38461538461538464,0.13333333333333333,0.3684210526315789,0.3076923076923077,0.35294117647058826,0.35294117647058826,0.1875,0.6363636363636364,0.11764705882352941,0.26666666666666666,0.2,0.1111111111111111,0.0,0.06666666666666667,0.4,0.35714285714285715
S15,0.1,0.21052631578947367,0.0,0.25,0.2,0.15384615384615385,0.0,0.16666666666666666,0.14285714285714285,0.14285714285714285,0.4,1.0,0.14285714285714285,0.3333333333333333,0.14285714285714285,0.4166666666666667,0.14285714285714285,0.25,0.45454545454545453,0.15789473684210525,0.2222222222222222,0.058823529411764705,0.3076923076923077,0.058823529411764705,0.38461538461538464,0.21428571428571427,0.26666666666666666,0.09090909090909091,0.15384615384615385,0.3333333333333333,0.2857142857142857
S17,0.07142857142857142,0.35,0.0625,0.14285714285714285,0.2222222222222222,0.11764705882352941,0.26666666666666666,0.25,0.1111111111111111,0.17647058823529413,0.25,0.14285714285714285,1.0,0.09090909090909091,0.17647058823529413,0.10526315789473684,0.25,0.20833333333333334,0.05263157894736842,0.23809523809523808,0.3,0.2222222222222222,0.10526315789473684,0.29411764705882354,0.15789473684210525,0.10526315789473684,0.2777777777777778,0.0,0.11764705882352941,0.09090909090909091,0.2222222222222222
S19,0.1,0.21052631578947367,0.08333333333333333,0.1111111111111111,0.2,0.25,0.07142857142857142,0.10526315789473684,0.14285714285714285,0.14285714285714285,0.10526315789473684,0.3333333333333333,0.09090909090909091,1.0,0.3333333333333333,0.13333333333333333,0.14285714285714285,0.13636363636363635,0.14285714285714285,0.2222222222222222,0.1,0.125,0.0625,0.125,0.125,0.13333333333333333,0.35714285714285715,0.09090909090909091,0.25,0.17647058823529413,0.2
S23,0.16666666666666666,0.1875,0.125,0.06666666666666667,0.16666666666666666,0.1,0.1,0.13333333333333333,0.09090909090909091,0.09090909090909091,0.0625,0.14285714285714285,0.17647058823529413,0.3333333333333333,1.0,0.18181818181818182,0.2,0.05,0.09090909090909091,0.125,0.2,0.07692307692307693,0.08333333333333333,0.07692307692307693,0.2727272727272727,0.08333333333333333,0.07142857142857142,0.14285714285714285,0.0,0.14285714285714285,0.07692307692307693
S26,0.0,0.17647058823529413,0.0,0.3076923076923077,0.25,0.09090909090909091,0.09090909090909091,0.2857142857142857,0.18181818181818182,0.08333333333333333,0.38461538461538464,0.4166666666666667,0.10526315789473684,0.13333333333333333,0.18181818181818182,1.0,0.18181818181818182,0.375,0.4444444444444444,0.1875,0.26666666666666666,0.0,0.4,0.07142857142857142,0.5,0.2727272727272727,0.0,0.125,0.0,0.3076923076923077,0.15384615384615385
