curve,mean_pairwise_pearson,null_mean_pearson,raw_p_pearson,mean_pairwise_dtw,null_mean_dtw,raw_p_dtw,fdr_q_pearson,fdr_q_dtw
CentreOfMass_ax3,0.9784224246070001,0.9754845934697096,0.1622,0.8136380637762595,0.8534154561658471,0.22,0.644,0.6146
RAnkleAngles_ax1,0.6827820282771978,0.6673911362979003,0.2699,3.9311778053632955,3.868823308644955,0.6034,0.644,0.7029818181818182
RHipAngles_ax1,0.06711426610107706,0.06100724565467086,0.3379,7.785998961594201,7.848329223966876,0.275,0.644,0.6146
LHipAngles_ax1,0.06573263355134899,0.06594749687624825,0.4473,8.168882814506754,8.122225271940863,0.448,0.644,0.7029818181818182
RFootProgressAngles_ax1,0.3739838378401057,0.3738935397125657,0.4662,3.8717908115909885,3.9894109460562035,0.3073,0.644,0.6146
CentreOfMass_ax1,0.8074779670882366,0.8050717680944501,0.4899,3.369399349044262,3.2801722893763188,0.5842,0.644,0.7029818181818182
RASI_ax1,0.8041687291577093,0.8026519462489341,0.4979,3.404531810112952,3.3166021379527013,0.5865,0.644,0.7029818181818182
LFootProgressAngles_ax1,0.3741739070355724,0.37653336095346973,0.4991,3.8765953838047627,3.989270218826365,0.3027,0.644,0.6146
LKneeAngles_ax1,0.5368045887612956,0.5411069660337381,0.5331,2.874100448568778,2.9963252914607668,0.2558,0.644,0.6146
LASI_ax1,0.7849887438419837,0.7933021656371979,0.5956,3.567950294875948,3.3796908717770733,0.6444,0.644,0.7029818181818182
RKneeAngles_ax1,0.5111160040091579,0.5228862633929602,0.6196,2.7376333738736944,2.8949903856920725,0.2452,0.644,0.6146
LAnkleAngles_ax1,0.6422119125439101,0.6545167981547122,0.644,4.049603599638633,3.835032222553081,0.8913,0.644,0.8912999999999999
