curve,mean_pairwise_pearson,null_mean_pearson,raw_p_pearson,mean_pairwise_dtw,null_mean_dtw,raw_p_dtw,fdr_q_pearson,fdr_q_dtw
RFootProgressAngles_ax1,-0.010634010878754185,-0.02894098475232382,0.1859,6.774581538947197,6.874714813674705,0.238,0.35955,0.639
LFootProgressAngles_ax1,-0.009596286311272609,-0.028641744536155516,0.2042,6.651268565131281,6.751390368775474,0.2155,0.35955,0.639
LASI_ax1,-0.017178412769900366,-0.030461635640538432,0.2043,10.509353382749232,10.099565607626158,0.8932,0.35955,0.8931999999999999
RASI_ax1,-0.015423778449665814,-0.02937780993811556,0.2045,10.528278564417544,10.209135372564127,0.8125,0.35955,0.8931999999999999
RHipAngles_ax1,-0.020988337304125155,-0.030885821471005163,0.212,7.883635004601645,8.004430088175656,0.2221,0.35955,0.639
RKneeAngles_ax1,-0.013367670846279949,-0.029141787492053654,0.2149,5.218825943523088,5.370011235164498,0.1477,0.35955,0.639
CentreOfMass_ax1,-0.01973012506834856,-0.030733453553057715,0.2208,10.58438451912185,10.221274383010616,0.8617,0.35955,0.8931999999999999
LKneeAngles_ax1,-0.01752797410048219,-0.028998398234152206,0.2397,5.246267562600911,5.321398534303846,0.3195,0.35955,0.639
LHipAngles_ax1,-0.0340199810923584,-0.029614154173580667,0.378,8.692765965680136,8.438935135144293,0.8447,0.504,0.8931999999999999
RAnkleAngles_ax1,-0.03402288657659455,-0.028274846737171736,0.4551,6.529706250160463,6.311059221960718,0.8092,0.5254909090909091,0.8931999999999999
LAnkleAngles_ax1,-0.037284062207751996,-0.030350268346825752,0.4817,6.589550013073387,6.572845519811403,0.5151,0.5254909090909091,0.8830285714285715
CentreOfMass_ax3,-0.05066517219333779,-0.029820681132001974,0.821,6.675353623161776,6.913950631707822,0.2962,0.8210000000000001,0.639
