phase,curve,aggregation,test_type,feature,observed,null_mean,raw_p,fdr_q
mid_stance,LFootProgressAngles_ax1,mean,abnormality_jaccard,mid_stance__LFootProgressAngles_ax1__mean,1.0,0.6019572545489843,0.0279,1.0
swing,LKneeAngles_ax1,rom,abnormality_jaccard,swing__LKneeAngles_ax1__rom,1.0,0.6154453680662183,0.0288,1.0
mid_stance,LAnkleAngles_ax1,rom,abnormality_jaccard,mid_stance__LAnkleAngles_ax1__rom,1.0,0.6094638875652271,0.0327,1.0
swing,RAnkleAngles_ax1,rom,abnormality_jaccard,swing__RAnkleAngles_ax1__rom,0.8823529411764706,0.5941638281475206,0.0472,1.0
loading_response,CentreOfMass_ax1,mean,abnormality_jaccard,loading_response__CentreOfMass_ax1__mean,0.8823529411764706,0.6029661789708383,0.0672,1.0
pre_swing,RAnkleAngles_ax1,rom,abnormality_jaccard,pre_swing__RAnkleAngles_ax1__rom,0.8823529411764706,0.5969038080278615,0.0709,1.0
loading_response,LAnkleAngles_ax1,rom,abnormality_jaccard,loading_response__LAnkleAngles_ax1__rom,0.8823529411764706,0.6132848578975545,0.0736,1.0
pre_swing,LAnkleAngles_ax1,mean,abnormality_jaccard,pre_swing__LAnkleAngles_ax1__mean,0.8823529411764706,0.6139981645223346,0.0794,1.0
loading_response,LAnkleAngles_ax1,mean,abnormality_jaccard,loading_response__LAnkleAngles_ax1__mean,0.8823529411764706,0.6025617267609114,0.0809,1.0
pre_swing,RFootProgressAngles_ax1,rom,abnormality_jaccard,pre_swing__RFootProgressAngles_ax1__rom,0.8823529411764706,0.6095594853603007,0.0846,1.0
pre_swing,LAnkleAngles_ax1,rom,abnormality_jaccard,pre_swing__LAnkleAngles_ax1__rom,0.8823529411764706,0.6216754028344011,0.0871,1.0
loading_response,RKneeAngles_ax1,mean,abnormality_jaccard,loading_response__RKneeAngles_ax1__mean,0.7794117647058824,0.5952418771288893,0.1208,1.0
terminal_stance,LFootProgressAngles_ax1,rom,abnormality_jaccard,terminal_stance__LFootProgressAngles_ax1__rom,0.7794117647058824,0.5988804762829224,0.136,1.0
