phase,curve,aggregation,test_type,feature,observed,null_mean,raw_p,fdr_q
pre_swing,RASI_ax1,rom,abnormality_jaccard,pre_swing__RASI_ax1__rom,1.0,0.617826488531206,0.0188,1.0
pre_swing,RHipAngles_ax1,mean,abnormality_jaccard,pre_swing__RHipAngles_ax1__mean,1.0,0.613481936428937,0.0254,1.0
loading_response,RASI_ax1,rom,abnormality_jaccard,loading_response__RASI_ax1__rom,1.0,0.6062650382685327,0.0274,1.0
mid_stance,LAnkleAngles_ax1,rom,abnormality_jaccard,mid_stance__LAnkleAngles_ax1__rom,1.0,0.6196266685492079,0.0284,1.0
terminal_stance,RAnkleAngles_ax1,rom,abnormality_jaccard,terminal_stance__RAnkleAngles_ax1__rom,0.8823529411764706,0.5923415870998865,0.0458,1.0
mid_stance,LHipAngles_ax1,mean,deviation_cosine,mid_stance__LHipAngles_ax1__mean,0.38235294117647056,0.0447162363295153,0.0462,1.0
mid_stance,RHipAngles_ax1,mean,deviation_cosine,mid_stance__RHipAngles_ax1__mean,0.38235294117647056,0.034326962107975506,0.0568,1.0
pre_swing,LAnkleAngles_ax1,mean,abnormality_jaccard,pre_swing__LAnkleAngles_ax1__mean,0.8823529411764706,0.5990554937846725,0.0578,1.0
swing,RHipAngles_ax1,mean,deviation_cosine,swing__RHipAngles_ax1__mean,0.38235294117647056,0.06138555031973785,0.0595,1.0
swing,LKneeAngles_ax1,rom,abnormality_jaccard,swing__LKneeAngles_ax1__rom,0.8823529411764706,0.6089300106481236,0.0615,1.0
loading_response,CentreOfMass_ax1,rom,abnormality_jaccard,loading_response__CentreOfMass_ax1__rom,0.8823529411764706,0.6059517716477529,0.0623,1.0
loading_response,RASI_ax1,mean,abnormality_jaccard,loading_response__RASI_ax1__mean,0.8823529411764706,0.6077122418124166,0.0656,1.0
loading_response,LAnkleAngles_ax1,mean,abnormality_jaccard,loading_response__LAnkleAngles_ax1__mean,0.8823529411764706,0.6006527123300566,0.0691,1.0
mid_stance,LFootProgressAngles_ax1,rom,abnormality_jaccard,mid_stance__LFootProgressAngles_ax1__rom,0.8823529411764706,0.6127921615690981,0.0778,1.0
loading_response,RAnkleAngles_ax1,mean,abnormality_jaccard,loading_response__RAnkleAngles_ax1__mean,0.8823529411764706,0.6166793149903226,0.0826,1.0
loading_response,LASI_ax1,rom,abnormality_jaccard,loading_response__LASI_ax1__rom,0.8823529411764706,0.6105228169875812,0.0882,1.0
loading_response,LAnkleAngles_ax1,rom,abnormality_jaccard,loading_response__LAnkleAngles_ax1__rom,0.8823529411764706,0.6174338022037498,0.0952,1.0
swing,RAnkleAngles_ax1,rom,deviation_cosine,swing__RAnkleAngles_ax1__rom,0.38235294117647056,0.0751957548696046,0.1066,1.0
pre_swing,CentreOfMass_ax1,rom,abnormality_jaccard,pre_swing__CentreOfMass_ax1__rom,0.8823529411764706,0.6234888194701823,0.108,1.0
loading_response,RKneeAngles_ax1,mean,abnormality_jaccard,loading_response__RKneeAngles_ax1__mean,0.7794117647058824,0.5968729225863763,0.1365,1.0
terminal_stance,LFootProgressAngles_ax1,mean,abnormality_jaccard,terminal_stance__LFootProgressAngles_ax1__mean,0.7794117647058824,0.5969611667049058,0.1416,1.0
swing,LAnkleAngles_ax1,mean,abnormality_jaccard,swing__LAnkleAngles_ax1__mean,0.7794117647058824,0.5965508315537437,0.1477,1.0
loading_response,CentreOfMass_ax1,mean,abnormality_jaccard,loading_response__CentreOfMass_ax1__mean,0.7794117647058824,0.599799685850938,0.1569,1.0
mid_stance,RAnkleAngles_ax1,mean,abnormality_jaccard,mid_stance__RAnkleAngles_ax1__mean,0.7794117647058824,0.5999761740879971,0.1575,1.0
mid_stance,LFootProgressAngles_ax1,mean,abnormality_jaccard,mid_stance__LFootProgressAngles_ax1__mean,0.7794117647058824,0.6040765841290011,0.1684,1.0
terminal_stance,RHipAngles_ax1,mean,abnormality_jaccard,terminal_stance__RHipAngles_ax1__mean,0.7794117647058824,0.6070312913644305,0.1716,1.0
pre_swing,LASI_ax1,rom,abnormality_jaccard,pre_swing__LASI_ax1__rom,0.7794117647058824,0.6103080896324927,0.1732,1.0
terminal_stance,RFootProgressAngles_ax1,rom,abnormality_jaccard,terminal_stance__RFootProgressAngles_ax1__rom,0.7794117647058824,0.6085402657912851,0.1821,1.0
terminal_stance,RHipAngles_ax1,rom,abnormality_jaccard,terminal_stance__RHipAngles_ax1__rom,0.7794117647058824,0.6077048881358723,0.1837,1.0
