pair,measure,observed,null_mean,raw_p,fdr_q
right_hip_knee,dtw,1.426443969123232,1.7883867348273756,0.1225,0.7158
right_hip_knee,circular,0.973686495153539,0.9631907643902438,0.1377,0.7158
left_hip_knee,circular,0.9644192626532683,0.9499482484842389,0.2077,0.7158
left_hip_knee,dtw,2.174067286648275,4.275596993016,0.2386,0.7158
right_hip_ankle,circular,0.8089248441319374,0.8034044486029251,0.407,0.8767999999999999
right_knee_ankle,circular,0.7422215240665074,0.7400296944587595,0.467,0.8767999999999999
right_knee_ankle,dtw,23.799221409663595,22.974081946989443,0.6026,0.8767999999999999
left_hip_ankle,dtw,21.945734852909784,20.284541807140094,0.6629,0.8767999999999999
left_knee_ankle,dtw,24.826286113738234,23.790413602726417,0.7558,0.8767999999999999
right_hip_ankle,dtw,25.457929588549945,23.099580855282383,0.8653,0.8767999999999999
left_knee_ankle,circular,0.7265977628014817,0.7511285010878264,0.8745,0.8767999999999999
left_hip_ankle,circular,0.8088089992802975,0.8292714465204474,0.8768,0.8767999999999999
