pair,measure,observed,null_mean,raw_p,fdr_q
right_hip_knee,dtw,1.2960387519777603,1.5927028768206992,0.1454,0.6172799999999999
left_hip_ankle,dtw,18.874275061259823,22.426194335881675,0.1905,0.6172799999999999
right_hip_knee,circular,0.9725053085867184,0.9632012255531818,0.202,0.6172799999999999
left_hip_knee,circular,0.9654444837872572,0.9520195342570382,0.2399,0.6172799999999999
left_hip_knee,dtw,1.8400563880206051,4.071791050776499,0.2572,0.6172799999999999
right_hip_ankle,circular,0.7599673980721975,0.7561693604449978,0.4166,0.8332
left_hip_ankle,circular,0.7714135288771429,0.7817205704408584,0.7234,0.9972
right_hip_ankle,dtw,24.330392398897608,21.812761739494576,0.8223,0.9972
left_knee_ankle,dtw,32.85191923335061,29.301556877780296,0.8872,0.9972
right_knee_ankle,dtw,26.55764718084091,24.143982027019007,0.9009,0.9972
right_knee_ankle,circular,0.2125683037319137,0.28518939225174106,0.9642,0.9972
left_knee_ankle,circular,0.21448247832443543,0.31944079933744496,0.9972,0.9972
